,0
10,"27604 | d-glucaric acid | An increase in post dosing urinary excretion of D-glucaric acid showed a correlation with the ratio of calculated to observed areas under the plasma concentration, time curve following the final dose in the multiple dosing studies, indicating that hepatic microsomal enzymes are induced after repeated administration of the drug."
11,"8793599 | d-glucaric acid | As sensitive probes for CYP3A enzyme induction, urinary excretion of D-glucaric acid and 6 beta-hydroxycortisol were also unchanged."
12,"8738854 | d-glucaric acid | As sensitive probes for CYP3A enzyme induction, urinary excretion of D-glucaric acid and 6 beta-hydroxycortisol were also unchanged."
13,"11601708 | l-ascorbic acid | The decrease in the L-ascorbic acid content of shredded cabbage was approximately 20 to 30% for scallop-shell powder treatment at 0.1 and 0.5 g dm(-3) (20 degrees C), which is almost identical to that by sodium hypochlorite treatment at 200 micorg dm(-3)."
14,"25793599 | liquiritin | The correlation results between quantified fingerprints and quantitative determination of 5 marker compounds, including glycyrrhizic acid (GLY), liquiritin (LQ), isoliquiritigenin (ILG), isoliquiritin (ILQ) and isoliquiritin apioside (ILA), indicated that multi-component quantification could be replaced by quantified fingerprints."
15,23676571 | peanut | Mean peanut food-specific IgE was higher in those with a history of taking antacid medication (11.0  5.0 versus 2.0  5.5.; p = 0.01).
16,"14780436 | benzoate | In this general context, the present investigation was aimed at assessing the extent to which EPR could be used to monitor the sorption of 4-hydroxy-2,2,6,6-tetramethyl-piperidinyloxy benzoate (TEMPO benzoate), a hydrophobic spin probe, on a smectite (hectorite), two humic acids, and their complexes in the presence or absence of aluminum hydroxide."
17,"14780436 | benzoate | Distribution coefficient (Kd) values of 455.4 and 483.1 ml/g were found for the adsorption of TEMPO benzoate on hectorite-humic acids complexes, compared to respective Kd values of 46 and 147 ml/g predicted solely on the basis of the mass of humic acids present in the complexes."
18,"22950493 | lysolecithin | Except for those in the control group, all the rats were subjected to infusion of diluted lysolecithin with hydrochloric acid in the esophagus for 14 days."
19,"6941407 | lysolecithin | The in vitro capacity of several commercial antacids to bind bile acids and lysolecithin was measured in three different test media: 0.1 n HCl, natural human gastric juice and human gastric juice enriched with 5% protein."
20,6941407 | lysolecithin | Lysolecithin was equally heavily adsorbed by all tested antacids and in all three test conditions (85-100%).
21,"6755652 | lysolecithin | In vitro binding properties of eight clay and/or aluminium-containing antacids for bile salts and lysolecithin were measured in comparison with cholestyramine binding capacity, taking into account the final medium pH."
22,"6755652 | lysolecithin | Lysolecithins were bound by clay-containing antacids with the same intensity as cholestyramine, while the binding capacity of aluminium-containing antacids was weaker and related to the final pH."
23,6755652 | lysolecithin | Lysolecithins should be also bound more intensively in acid medium by aluminium-containing antacids.
24,"3863229 | lysolecithin | The gastric mucosa is continuously exposed to a variety of noxious factors, both endogenous such as: 0.1N hydrochloric acid, pepsin, bile acids, lysolecithin, H. pylori toxins and exogenous such as NSAIDs, ethanol and others."
25,"6784737 | lysolecithin | Gastroscopy was performed, followed by determination of intragastric bile acids and lysolecithin and a duodenogastric isotope reflux examination using technetium-99m-diethyliminodiacetic acid (Tc-99m HIDA)."
26,"6784737 | lysolecithin | Intragastric bile acid concentrations in the patients with upper abdominal complaints were in the range 7-21,458 mumol/l (mean 964 +/- 2342 mumol/l) and lysolecithin concentrations in the range 0-1992 mumol/l (mean 70 +/- 273 mumol/l)."
27,"6784737 | lysolecithin | Similarly the various measures of reflux were higher in those patients taking anticholinergic, psychotherapeutic or cardiovascular drugs, antacids or metoclopramide than in the patients not taking the respective drugs, although the only statistically significant increases were in intragastric bile acids among the users of antacids and metoclopramide (p less than 0.01 and p less than 0.05, respectively) and the increase in lysolecithin concentrations among those taking metoclopramide (p less than 0.05)."
28,"18299148 | horseradish | The in vitro release of two model proteins (horseradish peroxidase (HRP) and bovine serum albumin labeled with fluorescein isothiocyanate (FITC-BSA)) was evaluated from crosslinked networks composed of sebacic acid dimethacrylate (MSA), 1,6-bis-carboxyphenoxyhexane dimethacrylate (MCPH), and poly(ethylene glycol) diacrylate (PEGDA), supplemented with calcium carbonate."
29,"9125637 | sauce | Eleven normal volunteers were given omeprazole 20 mg every day for one week before breakfast in random order as either a 20-mg capsule with water or free enteric-coated granules with either 8 oz of orange juice, 8 oz of water with 2 Alka-Seltzer antacid tablets (aspirin free), or 1 teaspoon of apple sauce."
30,"9125637 | sauce | The median percentage of time of gastric acid pH > 4 after an omeprazole capsule was 68.5 (25-100); after granules with orange juice 59 (43-100); after granules in Alka-Seltzer solution 63 (31-100), and after granules in apple sauce 65 (30-99), with no significant differences (ANOVA)."
31,"17249489 | sauce | In this study, the migrations of Fe, Mg, Mn, Cr, Ni and Ca, along seven cooking cycles were evaluated for two food preparations (polished rice and commercial tomato sauce, the latter as an acid food), performed in unused stainless steel, cast iron and soapstone pans, taking refractory glass as a blank."
32,"18674856 | 3-hydroxybenzoic acid | All five N-de-ethylated intermediates were monitored by LC/MS/MS easily, and seven organic acids such as succinic acid, benzoic acid, adipic acid, 3-hydroxybenzoic acid, phthalic acid, etc., were also detected by GC/MS."
33,"12495426 | (z,z)-9,12-octadecadienoic acid | The dominant compounds were: 1-heptadecyne (1.5-8%), hexadecanoic acid (14-36%), (Z,Z)-9,12-octadecadienoic acid (12-30%), (Z,Z,Z)-9,12,15-octadecatrienoic acid (6-12%), n-heptadecane (4-16%), and 1-heptadecene (1.5-8%)."
34,"21889174 | chicory | Oxidative damage evaluated by lipid peroxidation increase measured by (i) malondialdehyde (MDA) production and (ii) the antioxidant enzyme peroxidase (POD) activities, was highlighted in chicory roots grown in the presence of CaCO(3)."
35,"8923024 | beta-carotene | The main aim of the trial is to assess the effect of antioxidant vitamins (beta-carotene, vitamin C and vitamin E) in blocking the progression of precancerous lesions of the stomach."
36,"3793138 | thaumatin | N-chloro chlorhexidine, covalently linked to either ovalbumin, KLH, thaumatin, LPS-associated protein or human serum protein, but not autologous mouse serum protein or LPS itself, induced both IgE and IgG anti-chlorhexidine antibody synthesis when injected, with alum adjuvant, into BALB/c mice."
37,"3903785 | thromboxane a2 | Two parallel groups, each of 10 out-patients with endoscopically confirmed benign gastric ulcer, were randomly assigned to receive either 1.5 g/day of triletide, a new tripeptide shown to increase the synthesis of gastroduodenal mucus and to antagonize thromboxane A2, or 0.3 g/day of carbenoxolone."
38,"2598753 | thromboxane a2 | The relative amounts of PGE2 and PGF2 alpha synthesized by antral and duodenal mucosa increased at the expense of the prostaglandins A2/B2, thromboxane A2, and prostacyclin."
39,16861275 | whey | Amino acid sequence analysis showed the protein to consist of 134 amino acids and to contain three sequence repeats of approximately 40 amino acids which were very similar to the well-known whey acidic protein domains of other proteins.
40,9710770 | triacylglycerol | Buffers and MgO tended to increase triacylglycerol extraction by the mammary gland and changed the proportions of some fatty acids in milk.
41,"26186724 | scallop | We studied the population dynamics and parasite load of the foraminifer Cibicides antarcticus on its host the Antarctic scallop Adamussium colbecki from three localities differing by sea ice cover within western McMurdo Sound, Ross Sea, Antarctica: Explorers Cove, Bay of Sails and Herbertson Glacier."
42,"14654048 | molybdate | The method eliminates the use of sodium arsenite, a highly toxic compound, substituting bismuth citrate for it to stabilize the phosphomolybdic acid complex formed during the interaction of inorganic phosphate and molybdate reduced by ascorbic acid."
43,"15587248 | molybdate | They were treated with 3.4 mg tetrathiomolybdate/kg body weight and lactated Ringer's solution iv, oral molybdate, sulfate, kaolin and pectin, and drenched with antacids."
44,"17372704 | hexadecane | Two mixed bacterial cultures (C(B-BT) and C(I-AT)) degraded phenanthrene when it was: (i) in the presence of either hexadecane as a non aqueous phase liquid or a montmorillonite-Al(OH)x-humic acid complex as a model organo-mineral matrix; (ii) sorbed to the complex, either alone or in the presence of hexadecane."
45,"6544769 | methacrylic acid | However, hydrogels containing small (impurity) amounts of methacrylic acid (MAA) do swell dramatically (approximately 90%) in dilute urea solution, but not directly due to the urea."
46,"2331951 | pancake | In a randomized study design, antacid or placebo were given 1 hr after either a protein or a carbohydrate pancake, of which only the former had any acid-buffering capacity."
47,2331951 | pancake | The antacid had no effect in the corpus after either pancake.
48,"2331951 | pancake | It raised intraluminal pH markedly in the antrum after a carbohydrate pancake (median antral pH before antacid: 2.0; after antacid: 3.3), whereas its effect in the antrum was weak after a protein pancake."
49,"2331951 | pancake | In vitro experiments were conducted to explain the in vivo results: in contrast to a carbohydrate pancake, a protein pancake reduced the buffering capacity of the antacid by direct interaction."
50,"12495426 | hexadecanoic acid | The dominant compounds were: 1-heptadecyne (1.5-8%), hexadecanoic acid (14-36%), (Z,Z)-9,12-octadecadienoic acid (12-30%), (Z,Z,Z)-9,12,15-octadecatrienoic acid (6-12%), n-heptadecane (4-16%), and 1-heptadecene (1.5-8%)."
51,6430691 | nicotinamide | The effect of inhibiting gastric acid secretion on nicotinamide pharmacokinetics was studied in five volunteers with the intent of reducing the large variations observed previously in the time to and magnitude of peak plasma concentrations.
52,6430691 | nicotinamide | The time to peak levels of nicotinamide or of nicotinamide plus nicotinic acid in saliva correlated well with that in plasma.
53,"6430691 | nicotinamide | However, peak concentrations for nicotinamide alone were significantly lower than in plasma, and very variable, whereas for nicotinamide plus nicotinic acid saliva levels were 20-30% higher, but more consistent."
54,21780397 | tamarindus indica | The control experiments were carried out to establish the plausible role of tartaric acid from Tamarindus indica and ascorbic acid from Emblica officinalis in this regard.
55,"16963243 | prostaglandin e-2 | All extracts produced a dose dependent anti-ulcerogenic effect associated with a reduced acid output, an increased mucin secretion, an increase in prostaglandin E(2) release and a decrease in leukotrienes."
56,"1274917 | prostaglandin e-2 | Concomitant intragastric administration of prostaglandin E2, Cholestyramine and an antacid (Maalox) was effective in preventing this type of acute erosive gastritis."
57,24577928 | ferulic acid | Current work aimed to develop and evaluate a transdermal delivery system of hydrogel patch for ferulic acid to treat skin damage induced by UV radiation.
58,24577928 | ferulic acid | Different kinetics models were employed to simulate the release and penetrate patterns of ferulic acid from patches in order to investigate the drug transport mechanism.
59,24577928 | ferulic acid | The optimized preparation was dihydroxy aluminium aminoacetate: NP700: glycerine: ferulic acid as a ratio of 0.02:0.4:1.5:1.25:0.25.
60,"24577928 | ferulic acid | The in vitro data revealed that it was easy for ferulic acid to release from the paste while difficult to permeate through the skin barrier, which resulted in most of drugs residued in the paste."
61,"24577928 | ferulic acid | Hence, further experiments will be necessary for finding the penetration enhancer in ferulic acid transdermal delivery."
62,16397741 | ferulic acid | In vitro dissolution and ferulic acid stability of Xin Yue Shu capsules was observed.
63,28231537 | ferulic acid | The release kinetics of esterified p-coumaric acid (PCA) and ferulic acid (FA) from rice straw under a mild alkaline condition were investigated to collect fundamental data for the design of a recovery process.
64,"15847990 | ferulic acid | But there was no significant effect on powder moisture absorption, ferulic acid in vitro dissolution and ferulic acid stability."
65,3341249 | octanoic acid | Fat absorption improved when medium-chain triglycerides or octanoic acid replaced corn oil (both p less than 0.01).
66,"21137574 | octanoic acid | The 30 recruited subjects, 20 patients and 10 healthy volunteers, have answered to test about their symptoms and have executed a 13C octanoic acid breath test in order to estimate the gastric emptying to a basal time, and 30 days after supplementation of mineral water, 1.5 liters/day, for 21 days."
67,"23475567 | uridine diphosphate | Patient renal function, serum albumin levels, sex, ethnicity, food intake, concurrent administration of interacting drugs such as antacids, metal-containing medications and proton pump inhibitors and polymorphisms in genes encoding uridine diphosphate glucuronosyltransferase were identified in some studies as having a significant influence on the pharmacokinetics of mycophenolate."
68,"9241835 | selenate | Ethylenediaminetetraacetic acid and HCl are added to the filtrate, which is heated to near boiling for 1 h to convert any selenate to selenite."
69,"15691943 | l-tyrosine | strain BI grew with several other aromatic acids as carbon sources: benzoate, 3-hydroxybenzoate, 4-hydroxybenzoate, gentisate, d-mandelate, l-phenylalanine, l-tyrosine, phenylacetate, 3-hydroxyphenylacetate, 4-hydroxyphenylacetate, and phenylpropionate."
70,"25310996 | l-tyrosine | Eight bismuth(III) complexes derived from a variety of -amino acids covering a range of physico-chemical properties (L-phenylalanine (Phe), L-proline (Pro), L-methionine (Met), L-cysteine (Cys), D,L-serine (Ser), L-tyrosine (Tyr), l-aspartic acid (Asp) and L-glutamic acid (Glu)) have been synthesised, characterised, and evaluated for their activity against Helicobacter pylori."
71,"19048190 | ceramide | To this end, phosphatidylserine exposure was estimated from annexin V-binding, cell shrinkage from decrease of forward scatter in FACS analysis, cytosolic Ca(2+) activity from Fluo3 fluorescence and ceramide abundance from binding of fluorescent antibodies."
72,"25793599 | isoliquiritin | The correlation results between quantified fingerprints and quantitative determination of 5 marker compounds, including glycyrrhizic acid (GLY), liquiritin (LQ), isoliquiritigenin (ILG), isoliquiritin (ILQ) and isoliquiritin apioside (ILA), indicated that multi-component quantification could be replaced by quantified fingerprints."
73,"28213721 | oryza sativa | Three different chemical amendments, lime stone, steel slag, and acid mine drainage sludge, were applied to paddy fields, and rice (Oryza sativa L. Milyang 23) was cultivated."
74,23831490 | caffeoylquinic acid | Galloyl- and caffeoylquinic acids are among the most important pharmacological active groups of natural compounds.
75,23831490 | caffeoylquinic acid | The newly developed zirconium silicate and bismuth citrate stationary phases revealed promising results for the selective extraction of galloyl- and caffeoylquinic acids from natural sources.
76,"1551350 | sausage | We evaluated the effect of a compound containing alginic acid plus antacid (extra-strength Gaviscon) versus active control antacid with equal acid-neutralizing capacity on intraesophageal acid exposure following a high-fat meal (61% fat: sausage, egg, and biscuit)."
77,4149645 | dimethicone | 1 The bioavailabilty of phenytoin sodium (Epanutin both alone and in combination with activated dimethicone and Asilone (a proprietary antacid preparation containing activated dimethicone) was examined in six healthy male volunteers.
78,"7095101 | dimethicone | Dimethicone is a common additive to antacids, although its value in the treatment of reflux oesophagitis is unproven."
79,"7095101 | dimethicone | The inclusion of dimethicone in the antacid gel preparation did not confer any benefit in terms of symptomatic assessment but did confer a small advantage with regard to objective markers of oesophageal inflammation, suggesting that a dimethicone-containing antacid is of value in the treatment of symptomatic gastro-oesophageal reflux."
80,"2213800 | dimethicone | We performed a systematic literature search in PubMed until October 2015, using the terms: sucralfate, guaiazulene, gaiazulene, dimethicone, alginate, antacids and gastroesophageal reflux."
81,"25065800 | rosmarinus officinalis | The potential use of three Laminaceae species (Lavandula dentata, Rosmarinus officinalis and Thymus vulgaris) for the phytostabilisation of a trace elements contaminated (acid) soil has been evaluated."
82,8679452 | nicotinic acid | The time to peak levels of nicotinamide or of nicotinamide plus nicotinic acid in saliva correlated well with that in plasma.
83,"8679452 | nicotinic acid | However, peak concentrations for nicotinamide alone were significantly lower than in plasma, and very variable, whereas for nicotinamide plus nicotinic acid saliva levels were 20-30% higher, but more consistent."
84,"21798598 | cellulase | Soil enzymatic activities of leucine aminopeptidase, cellulase, N-acetyl--glucosaminidase, arylsulfatase, -glucosidase, acetate esterase, butyric esterase, and acid phosphatase were determined."
85,"24066235 | vitis vinifera | The fruit of Vitis vinifera has been found to be anti-H. pylori, anti-inflammatory, wound healing, angiogenic, cytoprotective, and antioxidant."
86,"2349762 | purine | Didanosine is extensively metabolised to ddATP, to uric acid or enters the purine metabolic pool."
87,28231537 | p-coumaric acid | The release kinetics of esterified p-coumaric acid (PCA) and ferulic acid (FA) from rice straw under a mild alkaline condition were investigated to collect fundamental data for the design of a recovery process.
88,16372823 | arachidonic acid | COX-2 selectivity was confirmed by a lack of inhibition of arachidonic acid and collagen-induced platelet aggregation.
89,"2305173 | arachidonic acid | Finally, when PB or BSS was administered 30 minutes before intestinal inoculation with arachidonic acid in a rat model of inflammatory diarrhea, the percentages of inhibition of fluid accumulation ranged, in a dose-responsive fashion, from 16% to 113% for PB and from 25% to 111% for BSS."
90,3116776 | arachidonic acid | 14C-labelled arachidonic acid was used as substrate during in vitro incubation of the mucosal homogenate for determination of the endogenous formation of prostaglandins.
91,1553827 | arachidonic acid | Prostaglandin synthesis was measured by the incorporation of 14C-labelled arachidonic acid into cyclooxygenase products in mucosal homogenate.
92,"2598753 | arachidonic acid | Using 14C-labeled arachidonic acid as precursor for in vitro prostaglandin synthesis, the effect of an antacid containing Al (OH)3, Mg(OH)2 and CaCO3 on endogenous prostaglandin synthesis was investigated in antral and duodenal mucosa of healthy volunteers."
93,"5912899 | triticum aestivum | A pot experiment with wheat (Triticum aestivum L.), oat (Avena sativa L.), and redbeet (Beta vulgaris L.) was conducted to test the ability of limestone and hydrous ferric oxide (HFO) to ameliorate Ni phytotoxicity in two soils contaminated by particulate emissions from a nickel refinery."
94,20110889 | l-aspartic acid | We have investigated dissolution and surface reaction of calcite and aragonite in amino acid solutions of L-glutamic (L-glu) and L-aspartic acid (L-asp) at weak acidity of above pH 3.
95,"15020169 | l-aspartic acid | The acidic amino acid, such as aspartic acid (l-Asp), and glutamic acid are the primary active molecules of the glycoprotein on the organic/inorganic interface of biomineralized tissue."
96,"15020169 | l-aspartic acid | In this study, aspartic acid was used as the organic template in inducing the nucleation and growth of calcium carbonate."
97,"11331767 | l-aspartic acid | Crystals of the common rock-forming mineral calcite (CaCO(3)), when immersed in a racemic aspartic acid solution, display significant adsorption and chiral selectivity of d- and l-enantiomers on pairs of mirror-related crystal-growth surfaces."
98,"11331767 | l-aspartic acid | This selective adsorption is greater on crystals with terraced surface textures, which indicates that d- and l-aspartic acid concentrate along step-like linear growth features."
99,"25310996 | l-aspartic acid | Eight bismuth(III) complexes derived from a variety of -amino acids covering a range of physico-chemical properties (L-phenylalanine (Phe), L-proline (Pro), L-methionine (Met), L-cysteine (Cys), D,L-serine (Ser), L-tyrosine (Tyr), l-aspartic acid (Asp) and L-glutamic acid (Glu)) have been synthesised, characterised, and evaluated for their activity against Helicobacter pylori."
100,27770929 | aflatoxin | This immunosensor was fabricated by immobilization of anti-aflatoxin monoclonal antibodies (Ab-AFB1) and bovine serum albumin (BSA) for aflatoxin B1 detection.
101,"8099348 | aflatoxin | In Trial 1, pigs (n = 54; trial length 4 wk) were assigned to either an uncontaminated treatment (NC), 800 ppb of aflatoxin from contaminated corn (AC), or AC with one of four clays."
102,"26824243 | bromine | CHCl3, bromine trihalomethanes (THM-Br), dichloroacetic acid (DCAA) and trichloroacetic acid (TCAA) formation potential yields were correlated with specific ultraviolet absorbance (SUVA) values in different molecular weight (MW) fractions of humic substances (HS), respectively."
103,"21947716 | acetamide | Being the most active molecule, the N-[2-(-furanyl)-6-methoxy-1,2,3,4-tetrahydroquinolin-4-yl] acetamide 21 was ca."
104,"1185602 | cyanate | Administration of sodium cyanate in the gelatin capsules, taken with an antacid, improved the dose-response relationship within a given patient."
105,"20213972 | vinegar | Experiments reveal that, in the case of acetic acid and pearls, the concentration found in vinegar made from wine is ideal."
106,"10440429 | adp | The ADP-PATI, measured with ADP as the inducing substance, was compared and investigated according to the type of concomitantly used antacid."
107,"11407030 | benzoic acid | PTA production generates wastewaters with toxicants p-xylene [1,4-dimethyl-benzene (C8H10)], a major raw material used in the production process, along with some of the intermediates, viz., p-toluic acid, benzoic acid, 4-carboxybenzaldehyde, phthalic acid and terephthalic acid."
108,24279421 | benzoic acid | A novel nano-sorbent was developed for selective extraction and pre-concentration of p-amino benzoic acid (PABA) prior to determination by spectrophotometry.
109,17558525 | benzoic acid | TEM measurements and titration analysis by using benzoic acid suggested that the solid basicity of hydrotalcite plays important roles in the precise control of platinum size and metal concentration as well as the initial promotion of alcohol oxidation.
110,"16337324 | benzoic acid | All five N-de-ethylated intermediates were monitored by LC/MS/MS easily, and seven organic acids such as succinic acid, benzoic acid, adipic acid, 3-hydroxybenzoic acid, phthalic acid, etc., were also detected by GC/MS."
111,"1551350 | biscuit | We evaluated the effect of a compound containing alginic acid plus antacid (extra-strength Gaviscon) versus active control antacid with equal acid-neutralizing capacity on intraesophageal acid exposure following a high-fat meal (61% fat: sausage, egg, and biscuit)."
112,24835954 | mustard spinach | The enhancement of Japanese mustard spinach growth and the increased in plant uptake of phosphates following acid washing were observed.
113,"19727489 | calcium nitrate | In this study, size-selected calcite mineral particles were reacted with controlled amounts of nitric acid vapour over a wide range of relative humidities in an aerosol flow tube to study the conversion of insoluble and thus apparently non-hygroscopic calcium carbonate into soluble and hygroscopic calcium nitrate."
114,"17845813 | cyanide | Cyanide is commonly found as ferrocyanide [Fe(II)(CN)(6)](-4) and in the more mobile form, ferricyanide [Fe(III)(CN)(6)](-3) in contaminated soils and sediments."
115,21271683 | glyceric acid | High selectivity toward glyceric acid (78%) was obtained even at room temperature under air atmosphere.
116,"25065800 | thymus vulgaris | The potential use of three Laminaceae species (Lavandula dentata, Rosmarinus officinalis and Thymus vulgaris) for the phytostabilisation of a trace elements contaminated (acid) soil has been evaluated."
117,"22421918 | diaminopimelic acid | Strain MBRL 201(T) contained LL: -diaminopimelic acid (A(2)pm) as the diagnostic diamino acid, with glucose as the main sugar, while small amounts of galactose, glucose, mannose, rhamnose, ribose and xylose were also present in cell-wall hydrolysates."
118,15323512 | octadecanoic acid | We use large-scale molecular dynamics simulations to calculate the interfacial energies of calcite crystals grown on stearic (octadecanoic) acid monolayers.
119,"3517070 | octadecanoic acid | It has unique cellular fatty acids, predominantly tetradecanoic acid and cis-11, 12 methylene octadecanoic acid."
120,27124707 | olea europaea | The antiscale properties of the aqueous extract of olive (Olea europaea L.) leaves as a natural scale inhibitor for stainless steel surface in Hammam raw water were investigated using chronoamperometry (CA) and electrochemical impedance spectroscopy techniques in conjunction with a microscopic examination.
121,"11790001 | beta vulgaris | A pot experiment with wheat (Triticum aestivum L.), oat (Avena sativa L.), and redbeet (Beta vulgaris L.) was conducted to test the ability of limestone and hydrous ferric oxide (HFO) to ameliorate Ni phytotoxicity in two soils contaminated by particulate emissions from a nickel refinery."
122,"12495426 | 1-heptadecene | The dominant compounds were: 1-heptadecyne (1.5-8%), hexadecanoic acid (14-36%), (Z,Z)-9,12-octadecadienoic acid (12-30%), (Z,Z,Z)-9,12,15-octadecatrienoic acid (6-12%), n-heptadecane (4-16%), and 1-heptadecene (1.5-8%)."
123,1950032 | lettuce | Therefore we carried out the following investigations using a lattice [correction of lettuce] layer antacid as a model substance.
124,1541409 | leukotriene-c4 | The release of immunoreactive prostaglandin E2 (PGE2) and leukotriene C4 (LTC4) from antral and duodenal mucosal biopsy specimens taken from 20 patients with duodenal ulcer disease was measured by radioimmunoassay before and four weeks after treatment with colloidal bismuth subcitrate.
125,"7955775 | dicoumarol | glipizide, glibenclamide (glyburide) and tolbutamide] and the oral anticoagulant dicoumarol (bishydroxycoumarin)."
126,"25463799 | cassava | An immobilized fermentation system, using cassava bagasse hydrolysate (CBH) and mixed alkalis, was developed to achieve economical succinic acid production by Corynebacterium glutamicum."
127,"20143717 | cassava | Owing to the high starch content (60-65% on dry weight basis) and organic matter of cassava fibrous residue (CFR), an attempt has been made to utilize it for the production of lactic acid (LA) in semi solid state fermentation using Mann Rogassa Sharpe medium containing [5 % (wv(-1))] CFR in lieu of glucose [2% (wv(-1))] as the carbon source."
128,"16215756 | zn2+ | The analytical performance of bismuth-film electrodes for anodic stripping voltammetry of heavy metals was evaluated for non-deaerated solutions containing Cd2+, Pb2+, and Zn2+ ions."
129,"23308189 | calabash | The pseudo-total concentrations of 13 mineral nutrients/PHEs were quantified following a nitric-perchloric acid digestion of nine different Calabash chalk samples, and bioaccessible contents of eight of these chemical elements were determined in simulated saliva/gastric and intestinal solutions obtained via use of the Fed ORganic Estimation human Simulation Test (FOREhST) in vitro procedure."
130,"918354 | xanthine | with xanthine derivatives), renal (with probenecid) and gastrointestinal (with antacids) sites."
131,24835954 | spinach | The enhancement of Japanese mustard spinach growth and the increased in plant uptake of phosphates following acid washing were observed.
132,27404904 | spinach | The present study compares the antacid effect of raw spinach juice with an antioxidant-rich methanolic extract of spinach (NAOE) in an artificial stomach model.
133,"27404904 | spinach | MethodsThe pH of NAOE at various concentrations (50, 100 and 200 mg/mL) and its neutralizing effect on artificial gastric acid was determined and compared with that of raw spinach juice, water, the active control sodium bicarbonate (SB) and a marketed antacid preparation ENO."
134,"27404904 | spinach | Results NAOE (50, 100 and 200 mg/mL), spinach juice, SB and ENO showed significantly better acid-neutralizing effect, consistent duration of neutralization and higher antacid capacity when compared with water."
135,27404904 | spinach | Highest antacid activity was demonstrated by ENO and SB followed by spinach juice and NAOE200.
136,"27404904 | spinach | ConclusionsThus, it may be concluded that spinach displays significant antacid activity be it in the raw juice form or as an extract in methanol."
137,"15725301 | benzoyl peroxide | This article reviews such non-conventional topical therapies as aloe vera, antacids, benzoyl peroxide, collagen, dilantin, gentian violet, impregnated gauzes, insulin, mercurochrome, oxygen therapy, sugar, and vinegar."
138,"2170086 | buttermilk | Results indicated that milk and buttermilk did not aggravate or protect against duodenal injury, while antacid and prostaglandin did significantly protect against inflammation (P less than 0.02)."
139,6867630 | urate | For tissue fixation calcium acetate-formaldehyde is recommended in which fatty acids and earth-metal urates form insoluble calcium-salts which can be demonstrated in paraffin sections.
140,"8291986 | urate | The components of the upper urinary tract calculi were calcium oxalate (47%), ammonium acid urate (26%) and calcium carbonate (21%), whereas the main components of the lower urinary tract calculi were ammonium acid urate (27.2%), struvite (27.2%) and calcium carbonate (22.7%)."
141,"22484377 | grapefruit | Samples were power-brushed, outside the mouth, twice daily with test products (dentifrices containing 8% strontium or 8% arginine) or control (1,450 ppm NaF or water) and subjected to an agitated grapefruit juice acid challenge on days 3 and 4."
142,"23475567 | uridine | Patient renal function, serum albumin levels, sex, ethnicity, food intake, concurrent administration of interacting drugs such as antacids, metal-containing medications and proton pump inhibitors and polymorphisms in genes encoding uridine diphosphate glucuronosyltransferase were identified in some studies as having a significant influence on the pharmacokinetics of mycophenolate."
143,"23200379 | syrup | As a model analyte, valproic acid (VPA, antiepileptic drug) was selected and its extraction from biological (human serum) and pharmaceutical (tablet and syrup) samples were performed without any considerable matrix effect."
