,0
29,7183761 | 4-hydroxyphenylacetic acid | The identities of the p- and m-hydroxyphenylacetic acids were further confirmed as a consequence of the reductions observed following monoamine oxidase inhibition or the increases observed in the appropriate acid following the parenteral administration of p- or m-tyramine.
30,11575966 | scopoletin | The coumarin analogue and scopoletin inhibited monoamine oxidase with moderate IC(50) values.
31,"24450221 | sturgeon | We performed comparative study of substrate and inhibitor specificity of liver monoamine oxidases (MAO) of the giant sturgeon Huso huso, starred sturgeon Asipenser stellatus, Persian sturgeon Asipenser persicus, and Russian sturgeon Asipenser gueldenstaedtii."
32,"516540 | l-malic acid | Administration of dibenzylhydracide of D,L-malic acid (inhibitor of monoamine oxidase) into animals caused not only inhibition but also transformation of the mitochondrial monoamine oxidase activity, which acquired the property to deaminate histamine."
33,"100968 | l-malic acid | An estimation was made of the influence of monoamine oxidase inhibitors, transamine and D, L-malic acid benzyldihydrazide on the type of a tumor produced."
34,26856071 | chum salmon | The substrate and inhibitory specificity of mitochondrial monoamine oxidase (MAO) in the liver of males of the summer form of the chum salmon Oncorhynchus keta was studied.
35,1478795 | mustard | The effect of intracerebroventricular (ICV) administration of ethylcholine mustard aziridinium (AF64A) and of the monoamine oxidase (MAO)-B inhibitor L-deprenyl on MAO-A and MAO-B activities and on the morphology of the rat neostriatum and hippocampus were studied.
36,"1490432 | mustard | administration of ethylcholine mustard aziridinium (AF64A) and of the monoamine oxidase (MAO)-B inhibitor L-deprenyl on the acetylcholine (ACh) biosynthetic enzyme choline acetyltransferase (ChAT), on the ACh catabolic enzyme acetylcholinesterase (AChE) and on the density of ACh muscarinic M-1 and M-2 receptor sites."
37,"21371861 | 5-hydroxyindole acetaldehyde | The effect of quercetin and its antioxidative metabolite quercetin 3-glucuronide (Q3GA) on the activity of mouse brain mitochondrial monoamine oxidase-A (MAO-A) was evaluated by measuring the deamination product of serotonin, 5-hydroxyindole acetaldehyde (5-HIAL)."
38,11501051 | liquiritigenin | To study the inhibition of liquiritigenin (1) and isoliquiritigenin (2) isolated from Sinofranchetia chinensis on rat monoamine oxidase A and B (MAO A and B).
39,"809293 | uricase | Uricase, ascorbic oxidase and monoamine oxidase are not affected."
40,"10553643 | naphthalene | ), which exhibited monoamine oxidase (MAO) inhibition, three new naphthoquinone and/or naphthalene dimers (lemuninols A-C, 1-3) were isolated together with 4,6-dihydroxy-5-methoxy-2-methyl-naphthalene (8) and six known monomers (4-7, 9 and 10)."
41,"1762051 | naphthalene | Pentanthrene type heterocyclic compounds, which contain oxazole, isoxazole, oxadiazole, thiazole, isothiazole, thiadiazole or pyrrole ring as C-ring, and naphthalene, quinoline, isoquinoline or quinoxaline ring as A.B-ring, were prepared, and their monoamine oxidase (MAO) inhibitory activities were examined."
42,"8894597 | apigenin | Furthermore, apigenin inhibited in a concentration-dependent manner the activity of monoamine oxidase in the rat atrial homogenates."
43,"8894597 | apigenin | It is concluded that apigenin possesses the property to increase the atrial rate, probably as a result of a reduction in noradrenaline uptake as well as in monoamine oxidase activity."
44,"4462741 | trimethylamine | Trimethylamine dehydrogenase activity is potently inhibited by trimethylsulphonium chloride, by tetramethylammonium chloride and other quaternary ammonium salts, and by monoamine oxidase inhibitors of the substituted hydrazine and the non-hydrazine types."
45,"25915461 | salvigenin | In the present study, four Sideritis flavonoids, xanthomicrol (1), isoscutellarein 7-O-[6'''-O-acetyl--D-allopyranosyl-(12)]--D-glucopyranoside (2), isoscutellarein 7-O-[6'''-O-acetyl--D-allopyranosyl-(12)]-6''-O-acetyl--D-glucopyranoside (3) and salvigenin (4) were docked computationally into the active site of the human monoamine oxidase isoforms (hMAO-A and hMAO-B) and were also investigated for their hMAO inhibitory potencies using recombinant hMAO isoenzymes."
46,"16631124 | trans-resveratrol | This study investigated for the first time the potential effects of cis- and trans-resveratrol (c-RESV and t-RESV) on noradrenaline (NA) and 5-hydroxytryptamine (5-HT) uptake by synaptosomes from rat brain, on 5-HT uptake by human platelets, and on monoamine oxidase (MAO) isoform activity."
47,"25743119 | m. oleifera | Therefore, the effects on various factors playing important roles in male sexual behavior, such as antioxidant effects, the suppression of monoamine and phosphodiesterase type 5 (PDE-5) activities, serum testosterone and corticosterone levels, and histomorphological changes in the testes, of a hydroethanolic extract of M. oleifera leaves were investigated."
48,26856071 | oncorhynchus keta | The substrate and inhibitory specificity of mitochondrial monoamine oxidase (MAO) in the liver of males of the summer form of the chum salmon Oncorhynchus keta was studied.
49,"6329037 | radish | Monoamine oxidase is assayed in tissue by a colorimetric reaction using horse radish peroxidase and 2,2'-azinodi(ethylbenzthiazoline-6-sulfonic acid to measure H2O2 formed during oxidation of amines."
50,"17077534 | sarsasapogenin | Moreover, sarsasapogenin showed a monoamine oxidase inhibitory activity in the mouse brain."
51,"21420424 | scallop | These results indicated that CfMAO, as the homologue of monoamine oxidase in scallop C. farreri, could modulate the immune response of scallops through the deamination of monoamines."
52,"9595282 | scallop | The efficacies of various agents that affect monoamine synthesis, oxidation and methylation were evaluated in the scallop, Placopecten magellanicus, through the use of high performance liquid chromatography with electrochemical detection."
53,"12498906 | propanoic acid | In MDR1-transfected Madin-Darby canine kidney, MDCKII, cell monolayers, digoxin secretion was reduced by the MDR1 inhibitor cyclosporin A, whereas no inhibition was seen in the presence of MK-571, 3-([(3-(2-[7-chloro-2-quinolinyl]ethyl)phenyl]-[(3-dimethylamino-3-oxoprphyl)-thio)-methyl]-thio) propanoic acid, a Multidrug Related Protein (MRP) inhibitor."
54,"21190052 | isorhamnetin | Quercetin was equipotent with norharman as a monoamine oxidase A inhibitor and its metabolite, isorhamnetin, also inhibits."
55,"25857942 | sesamol | In the present study, series of eight sesamol (1,3-benzodioxol-5-ol) and eight benzodioxane (2,3-dihydro-1,4-benzodioxine) derivatives were synthesised and evaluated as inhibitors of recombinant human monoamine oxidase (MAO) A and B."
56,"6283820 | aflatoxin | Substrates of diamine oxidase did not inhibit dimethylnitrosamine mutagenesis and, furthermore, monoamine oxidase inhibitors had no effect on mutagenesis by benzo[a]pyrene or aflatoxin B1."
57,"6329037 | horse | Monoamine oxidase is assayed in tissue by a colorimetric reaction using horse radish peroxidase and 2,2'-azinodi(ethylbenzthiazoline-6-sulfonic acid to measure H2O2 formed during oxidation of amines."
58,"28601914 | xanthine | Finally, innovative therapeutic strategies, including stem cells, xanthine oxidase inhibitors, antibiotic regimens, and omega-3 polyunsaturated fatty acids, were also taken into consideration."
59,"28095073 | camellia sinensis | The complementary use of green tea (Camellia sinensis), red wine (Vitis vinifera), arctic root (Rhodiola rosea), and dwarf periwinkle (Vinca minor) may have a greater therapeutic effect than current pharmaceutical drugs, such as monoamine oxidase inhibitors or dopamine agonists alone."
60,"15120460 | eugenol | A total of seventeen phytochemicals including seven alkaloids (piperine, strychnine, brucine, stachydrine, tetrandrine, frangchinoline and sinomenine), four phenols (paeonol, honokiol, magnolol and eugenol) and six anthraquinones (emodin, rhein, chrysorphanol, aloe-emodin, physcion and 1,8-dihydroxyanthraquinone) was examined for inhibitory activity of monoamine oxidase (MAO) A and B from rat brain mitochondrial."
61,15936201 | eugenol | Results from this study show that eugenol inhibits monoamine oxidase A (MAOA) preferentially with a K(i)=26 microM.
62,"21190052 | eugenol | Norharman, harman and quercetin dietary presence, pharmacokinetics, and tissue levels were consistent with significant levels reaching neuronal monoamine oxidase from the diet or smoking; 1,2,3,4-tetrahydroisoquinoline, eugenol, 1-piperoylpiperidine, and coumarin were not."
63,"12769695 | squalene | Recent structural data obtained for cyclooxygenases, monoamine oxidase, squalene cyclase, rhodopsine, porins, aquaporins, and ABC transporters are presented and briefly discussed."
64,23461900 | baicalein | The top two ranked targets catechol-O-methyltransferase (COMT) and monoamine oxidase B (MAO-B) have been proposed as targets of baicalein by literatures.
65,"1403805 | baicalein | Inhibition of catecholamine reuptake with cocaine or catecholamine metabolism with tropolone and parglyine (monoamine oxidase and catecholamine-O-methyl transferase inhibitors, respectively) did not alter baicalein's ability to potentiate contractile responses to nerve stimulation."
66,"24904963 | crocus sativus | Although there are clinical trials and in vivo studies in literature regarding the anxiolytic and antidepressant activities of the components of Crocus sativus L., their effects on the human monoamine oxidases (hMAO-A and hMAO-B), enzymes which are involved in mental disorders and neurodegenerative diseases, have not yet been investigated."
67,"3122700 | 6-hydroxymelatonin | Twenty-four-hour urinary excretion of 6-hydroxymelatonin and ""whole-body norepinephrine (NE) turnover,"" ie, 24-hour urinary output of NE and its major metabolites 3-methoxy-4-hydroxyphenylglycol, vanillylmandelic acid, and normetanephrine, were measured before and after treatment with the tricyclic desipramine hydrochloride, the aminoketone bupropion hydrochloride, the nonselective monoamine oxidase (MAO) inhibitor tranylcypromine sulfate, and the specific MAO type A inhibitor clorgiline."
68,"3601232 | 1,4-benzoquinone | The effect of 1,4-benzoquinone (BQ) on type A and B monoamine oxidase (MAO-A and -B) in human brain synaptosomes was examined."
69,25509046 | katsuwonus pelamis | There has been carried out a study of substrate and inhibitor specificity of the liver mitochondrial monoamine oxidase (MAO) of the striped-bellied tunny Katsuwonus pelamis.
70,25490845 | katsuwonus pelamis | There has been carried out a study of substrate and inhibitor specificity of the liver mitochondrial monoamine oxidase (MAO) of the striped-bellied tunny Katsuwonus pelamis.
71,"17215008 | cyprinus carpio | We have previously reported that carp (Cyprinus carpio) tissue mitochondria contain a novel form of monoamine oxidase (MAO), which belongs neither to MAO-A nor to MAO-B of the mammalian enzyme."
72,"21521428 | arecoline | One of the major ingredients of BQ, arecoline, is known to affect the expression of monoamine oxidase A (MAO-A)."
73,"6786369 | benzyl alcohol | The inhibition by chlorgyline and deprenyl of deamination of tyramine, i. e. substrate of two forms of monoamine oxidase (MAO) A and B, by fragments of rat liver mitochondrial membrane and the effects of competitive reversible inhibitors of the MAO activity, e. g. 4-ethylpyridine, benzyl alcohol, O-benzyl-hydroxylamine and 2-oxyquinoline, on this process were studied."
74,6107340 | 2-butanone | The extraction of lipids from rat liver mitochondrial membranes by 2-butanone treatment inhibited the activity of membrane-bound monoamine oxidase -A but not -B.
75,6318104 | chlorophyll | Diethyldithiocarbamate and carbon monoxide markedly inhibited the frequency of embryonic and chlorophyll mutations induced by the metabolism-requiring mutagen dimethylnitrosamine in the higher plant Arabidopsis thaliana.
76,11764944 | o-quinone | This suggests that H2O2 formed by the mitochondrial metabolism of monoamine oxidase then oxidised dopamine to cytotoxic o-quinone catalysed by P450.
77,"8427473 | globulin | A1C = hemoglobin A1c AACE = American Association of Clinical Endocrinologists ACE = American College of Endocrinology ACSM = American College of Sports Medicine ADA = American Diabetes Association ADAPT = Arthritis, Diet, and Activity Promotion Trial ADHD = attention-deficit hyperactivity disorder AHA = American Heart Association AHEAD = Action for Health in Diabetes AHI = apnea-hypopnea index ALT = alanine aminotransferase AMA = American Medical Association ARB = angiotensin receptor blocker ART = assisted reproductive technology AUC = area under the curve BDI = Beck Depression Inventory BED = binge eating disorder BEL = best evidence level BLOOM = Behavioral Modification and Lorcaserin for Overweight and Obesity Management BLOSSOM = Behavioral Modification and Lorcaserin Second Study for Obesity Management BMI = body mass index BP = blood pressure C-SSRS = Columbia Suicidality Severity Rating Scale CAD = coronary artery disease CARDIA = Coronary Artery Risk Development in Young Adults CBT = cognitive behavioral therapy CCO = Consensus Conference on Obesity CHF = congestive heart failure CHO = carbohydrate CI = confidence interval COR-I = Contrave Obesity Research I CPG = clinical practice guideline CV = cardiovascular CVD = cardiovascular disease DASH = Dietary Approaches to Stop Hypertension DBP = diastolic blood pressure DEXA = dual-energy X-ray absorptiometry DPP = Diabetes Prevention Program DSE = diabetes support and education EL = evidence level ED = erectile dysfunction ER = extended release EWL = excess weight loss FDA = Food and Drug Administration FDG = 18F-fluorodeoxyglucose GABA = gamma-aminobutyric acid GERD = gastroesophageal reflux disease GI = gastrointestinal GLP-1 = glucagon-like peptide 1 HADS = Hospital Anxiety and Depression Scale HDL-c = high-density lipoprotein cholesterol HR = hazard ratio HTN = hypertension HUNT = Nord-Trndelag Health Study ICSI = intracytoplasmic sperm injection IFG = impaired fasting glucose IGT = impaired glucose tolerance ILI = intensive lifestyle intervention IVF = in vitro fertilization LAGB = laparoscopic adjustable gastric banding LDL-c = low-density lipoprotein cholesterol LES = lower esophageal sphincter LSG = laparoscopic sleeve gastrectomy LV = left ventricle LVH = left ventricular hypertrophy LVBG = laparoscopic vertical banded gastroplasty MACE = major adverse cardiovascular events MAOI = monoamine oxidase inhibitor MI = myocardial infarction MNRCT = meta-analysis of non-randomized prospective or case-controlled trials MRI = magnetic resonance imaging MUFA = monounsaturated fatty acid NAFLD = nonalcoholic fatty liver disease NASH = nonalcoholic steatohepatitis NES = night eating syndrome NHANES = National Health and Nutrition Examination Surveys NHLBI = National Heart, Lung, and Blood Institute NHS = Nurses' Health Study NICE = National Institute for Health and Care Excellence OA = osteoarthritis OGTT = oral glucose tolerance test OR = odds ratio OSA = obstructive sleep apnea PHQ-9 = Patient Health Questionnaire PCOS = polycystic ovary syndrome PCP = primary care physician POMC = pro-opiomelanocortin POWER = Practice-Based Opportunities for Weight Reduction PPI = proton pump inhibitor PRIDE = Program to Reduce Incontinence by Diet and Exercise PSA = prostate specific antigen QOL = quality of life RA = receptor agonist RCT = randomized controlled trial ROC = receiver operator characteristic RR = relative risk RYGB = Roux-en-Y gastric bypass SAD = sagittal abdominal diameter SBP = systolic blood pressure SCOUT = Sibutramine Cardiovascular Outcome Trial SG = sleeve gastrectomy SHBG = sex hormonebinding globulin SIEDY = Structured Interview on Erectile Dysfunction SNRI = serotonin-norepinephrine reuptake inhibitors SOS = Swedish Obese Subjects SS = surveillance study SSRI = selective serotonin reuptake inhibitors STORM = Sibutramine Trial on Obesity Reduction and Maintenance TCA = tricyclic antidepressant TONE = Trial of Nonpharmacologic Intervention in the Elderly TOS = The Obesity Society T2DM = type 2 diabetes mellitus UKPDS = United Kingdom Prospective Diabetes Study U.S = United States VAT = visceral adipose tissue VLDL = very low-density lipoprotein WC = waist circumference WHO = World Health Organization WHR = waist-hip ratio WHtR = waist-to-height ratio WMD = weighted mean difference WOMAC = Western Ontario and McMaster Universities osteoarthritis index XENDOS = XEnical in the Prevention of Diabetes in Obese Subjects."
78,"22983620 | n-acetyl-l-cysteine | Furthermore, a monoamine oxidase inhibitor, pargyline, and antioxidants, N-acetyl-L-cysteine and glutathione, also did not affect the DA-induced expression of EC-SOD mRNA."
79,20848919 | squid | Comparative study of substrate specificity of monoamine oxidase (MAO) of optic ganglia of the Pacific squid Todarodes pacificus and the Commander squid Berryteuthis magister has been carried out.
80,"20583578 | squid | A detailed kinetic analysis is performed of enzymatic reactions of deamination of tyramine, tryptamine, serotonin, benzylamine, beta-phenylethylamine, and histamine under action of liver monoamine oxidase (MAO) of the Commander squid Berryteuthis magister from various habitation zones in the Bering and Japan Seas."
81,"19764634 | squid | Monoamine oxidase activity, using type A and type B substrates and inhibitors, was investigated in the central brain and synaptosomes prepared from the optic lobe of squid."
82,8916419 | 4-hydroxybenzoate | Monoamine oxidase inhibitors decrease the production of hydroxyl radicals as measured by salicylate and 4-hydroxybenzoate trapping.
83,"9197288 | quail | Picomole to femtomole per gland/ml levels of 5-methoxytryptamine (5MT) in the pineal gland and serum of the rat and quail were determined, in the absence of a monoamine oxidase inhibitor, by using the ultra-sensitive technique of capillary column gas chromatography/electron-capture negative ion chemical ionization mass spectrometry."
84,"24875606 | quail | Since monoamine oxidase (EC 1.4.3.4) is the primary degradative enzyme for these biogenic amines, we have begun to characterize MAO activity during quail embryogenesis."
85,"25801321 | shrimp | We used three neurological enzymes, cholinesterase (ChE), adenosine triphosphatase (ATPase), and monoamine oxidase (MAO), from a freshwater planarian (Dugesia japonica) and green neon shrimp (Neocaridina denticulata) as biomarkers to examine the effects of pain relievers on in vitro activity."
86,"28109809 | angelica | During the ongoing search for new monoamine oxidase (MAO) inhibitors, five coumarin derivatives and eight flavonoids were isolated from the roots of Angelica gigas Nakai and Scutellaria baicalensis Georgi, respectively."
87,8129740 | pentanal | Determination of the formation of H2O2 and the aldehyde product of the oxidative cleavage of milacemide by purified monoamine oxidase-B from ox liver indicated that cleavage resulted solely in the formation of pentanal and glycinamide.
88,"24920136 | oleanolic acid | Although monoamine oxidase activity remained unaltered by oleanolic acid, chronic administration of oleanolic acid augmented hippocampal BDNF level."
89,"2611933 | sennoside a | Four (in total) compounds with inhibitory effects on the activity of bovine serum monoamine oxidase were isolated from the methanol-water extracts of Rhei Rhizoma (Daiou) and Sennae Folium (Senna), and identified as sennosides A, B, E and F. Among them, sennosides A and B were obtained from both Rhei Rhizoma and Sennae Folium, while sennosides E and F were detected only in the former."
90,"5630157 | saponins | There seems to be a positive correlation between the saponin content and, cholinesterase and monoamine inhibitory activities as MAR had 62.20% of saponins, whereas HAR and CAR had no measurable saponin content."
91,"15120460 | physcion | A total of seventeen phytochemicals including seven alkaloids (piperine, strychnine, brucine, stachydrine, tetrandrine, frangchinoline and sinomenine), four phenols (paeonol, honokiol, magnolol and eugenol) and six anthraquinones (emodin, rhein, chrysorphanol, aloe-emodin, physcion and 1,8-dihydroxyanthraquinone) was examined for inhibitory activity of monoamine oxidase (MAO) A and B from rat brain mitochondrial."
92,"25915461 | xanthomicrol | In the present study, four Sideritis flavonoids, xanthomicrol (1), isoscutellarein 7-O-[6'''-O-acetyl--D-allopyranosyl-(12)]--D-glucopyranoside (2), isoscutellarein 7-O-[6'''-O-acetyl--D-allopyranosyl-(12)]-6''-O-acetyl--D-glucopyranoside (3) and salvigenin (4) were docked computationally into the active site of the human monoamine oxidase isoforms (hMAO-A and hMAO-B) and were also investigated for their hMAO inhibitory potencies using recombinant hMAO isoenzymes."
93,"3986700 | tin | A new radioiodinated monoamine oxidase A (MAO-A) specific inhibitor, [125I]iodoclorgyline, was synthesized from its tin precursor by iododestannylation reaction using sodium [125I]iodide and hydrogen peroxide with high yield and site specificity."
94,"26684482 | 1,4-naphthoquinone | Previous reports have documented that 1,4-naphthoquinones act as inhibitors of the monoamine oxidase (MAO) enzymes."
95,"8589074 | n,n-dimethylbenzylamine | Support for this conclusion also comes from the observation that para-substituted N,N-dimethylbenzylamine analogues are competitive inhibitors and not substrates for monoamine oxidase B while the meta-substituted analogues are substrates, albeit poor ones."
96,9793841 | catfish | The substrate- and inhibitor-related characteristics of monoamine oxidase (MAO) were studied for catfish brain and liver.
97,27517961 | glutaminase | We found increased glutaminase and GABA transaminase (GABA-T) expression and decreased monoamine oxidase B expression in Fmr1 KO astrocytes.
98,"26836138 | anthocyanins | In anthocyanin treated animals, the activity of succinate dehydrogenase, cytochrome oxidase and monoamine oxidase increased, but mitochondrial permeability transition pore opening decreased and total antioxidant capacity increased."
99,25176235 | fenugreek | EtOH extract of seeds of fenugreek represent maximum significant reduction which was 30 and 24.65% in MAO- A and B activity respectively in the rat's whole brain as compared to control animals in Monoamine oxidase (MAO) assay.
100,"1913999 | glycyrrhizin | Among the twelve licorice constituents examined for the inhibition of monoamine oxidase (MAO), six compounds, 3, 4, genistein (6), licopyranocoumarin (7), licocoumarone (14) and glycyrrhisoflavone (15), inhibited the enzyme with the IC50 (concentration required for 50% inhibition of the enzyme activity) values of 6.0 x 10(-5)-1.4 x 10(-4) M. Glycyrrhizin (1) also inhibited MAO with the IC50 value of 1.6 x 10(-4) M."
101,"10813558 | chrysin | The aerial parts of Passiflora incarnata contain multiple bioactive metabolites such as, flavonoids (like, chrysin that show CNS depressant activity by agonizing GABA-benzodiazepine receptor), amino acids (like, GABA), harmala alkaloids (reversible monoamine oxidase-A inhibitor), etc."
102,"4055794 | propanal | Although allylamine and N-cyclopropylbenzylamine appear to be oxidized by monoamine oxidase to give 3-(amino acid residue) propanal adducts, two different amino acids seem to be involved because of a difference in stability of the adducts."
103,"23264933 | coenzyme a | These compounds are reported for their antimicrobial and antifungal activities, and are subsequently highlighted as a potent mechanism-based inhibitor of several enzymes like acyl coenzyme A cholesterol acyltransferase, monoamine oxidase, heat shock protein 90, cathepsin D, and c-Jun N-terminal kinases."
