,0
12,"9300079 | l-ascorbic acid | Upon the addition of histidine and histamine, the copper containing monoamine oxidase (MAO) catalyzes the oxidation of L-ascorbic acid (AsA) by dissolved oxygen, in which the consumed oxygen was finally converted to hydrogen peroxide, according to Michaelis-Menten kinetics (Km) = 1.97 mM, upon the addition of 5 x 10(-5) M L-histidine at 35 degrees C and pH 8.5)."
13,"16222369 | l-ascorbic acid | In order to amplify the bio-detector output, a substrate regeneration cycle caused by coupling the monooxygenase with l-ascorbic acid as reducing reaction with reagent system, was applied."
14,"16503919 | calmodulin | Additionally, real-time quantitative polymerase chain reaction was used for validation of a selection of responsive genes including genes involved in neurotransmission and synaptic plasticity such as the corticotropin releasing hormone receptor 1, monoamine oxidase A, LIMK1 and calmodulin 2."
15,"17100591 | calmodulin | Selegiline inhibits the activity of monoamine oxidase B, enhances the release of dopamine, blocks the uptake of dopamine, acts as a calmodulin antagonist, and enhances the level of cyclic AMP, which in turn protects dopaminergic neurons."
16,"27814588 | tangeritin | The effect of tangeritin was studied on the activity pattern, climbing ability, dopamine content, oxidative stress markers (lipid peroxidation, reduced glutathione, glutathione-S-transferase, protein carbonyl content and monoamine oxidase activity) and on the histopathology of the brain of PD model flies."
17,"22197297 | fisetin | Monoamine oxidase (MAO) activity in the mouse brain was inhibited by 14.7% after treatment with fisetin, while MAO-B activity was not affected."
18,"11206588 | benzothiazole | The neuroprotective effects of riluzole (2-amino-6-trifluoromethoxy benzothiazole), a Na+ channel blocker with antiglutamatergic activity, MK-801, a blocker of N-methyl-D-aspartate (NMDA) receptors and monoamine oxidase (MAO) inhibitor pargyline were compared in the model of 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced depletion of dopamine and its metabolite 3,4-dihydroxyphenylacetic acid (DOPAC) levels in mice."
19,"15778090 | octanoate | The data indicate that a rapid intracellular degradation of L-3,4-dihydroxyphenylalanine and tyramine (at 100 and 200 microM concentrations) is accompanied by 25-40% decrease in glucose production from pyruvate, alanine + glycerol + octanoate and dihydroxyacetone due to augmented generation of hydrogen peroxide via monoamine oxidase B, resulting in a decline of glutathione redox state by 40%."
20,"15778090 | octanoate | Moreover, following inhibition of monoamine oxidase B by deprenyl or substitution of pyruvate by aspartate + glycerol + octanoate both L-3,4-dihydroxyphenylalanine and tyramine affect neither the rate of gluconeogenesis nor glutathione redox state."
21,"25243093 | citrus | This study sought to investigate the effect of infusions from green tea (Camellia sinensis) and some citrus peels [shaddock (Citrus maxima), grapefruit (Citrus paradisi), and orange (Citrus sinensis)] on key enzymes relevant to the management of neurodegenerative conditions [monoamine oxidase (MAO) and butyrylcholinesterase (BChE)]."
22,"2441419 | lard | Therefore to determine whether dietary fat is mediating its effect on macronutrient selection via alterations in serotonin (5HT) metabolism, brain stem concentrations of 5HT and its metabolite 5-hydroxyindole acetic acid (5HIAA) and whole brain (minus brain stem) mitochondrial monoamine oxidase (MAO) activity were measured in a separate set of animals fed the SBO or lard diets for 28 days."
23,"2090033 | sulfides | Furthermore, in vitro inhibition by sulfide of monoamine oxidase (MAO) was reversed by DTT, thus suggesting a molecular mechanism consistent with known persulfide chemistry."
24,6481771 | sulfides | All four phenyl aminoethyl sulfides were shown to be good substrates for DBH whereas only the two analogues not possessing a methyl group alpha to the terminal amino group were substrates for MAO.
25,"19969454 | dock | Using in silico modelling, we propose a structural basis of such activity by showing that these compounds can successfully dock into the inhibitor binding pockets of human monoamine oxidase isoforms with predicted affinities comparable to some known inhibitors."
26,26856071 | oncorhynchus | The substrate and inhibitory specificity of mitochondrial monoamine oxidase (MAO) in the liver of males of the summer form of the chum salmon Oncorhynchus keta was studied.
27,"8466551 | 2-hydroxyphenylacetic acid | The effects of the administration of selective and non-selective inhibitors of monoamine oxidase (MAO) on the concentrations of three trace acid metabolites [phenylacetic acid (PAA); m-hydroxyphenylacetic acid (mHPAA); and p-hydroxyphenylacetic acid (pHPAA)] and of an acid metabolite of dopamine [3,4-dihydroxyphenylacetic acid (DOPAC)] in the rat striatum were determined."
28,"12383029 | thromboxane a2 | The pharmacological properties of kava are postulated to include blockade of voltage-gated sodium ion channels, enhanced ligand binding to gamma-aminobutyric acid (GABA) type A receptors, diminished excitatory neurotransmitter release due to calcium ion channel blockade, reduced neuronal reuptake of noradrenaline (norepinephrine), reversible inhibition of monoamine oxidase B and suppression of the synthesis of the eicosanoid thromboxane A(2), which antagonises GABA(A) receptor function."
29,"21296217 | molybdenum | Among the major oxidative enzymes, other than CYPs, involved in the oxidative metabolism of drugs and other xenobiotics, the flavin-containing monooxygenases (FMOs), the molybdenum hydroxylases [aldehyde oxidase (AO) and xanthine oxidase (XO)] and the FAD-dependent amine oxidases [monoamine oxidases (MAOs) and polyamine oxidases (PAOs)] are discussed in this minireview."
30,"17125408 | molybdenum | The (major) oxidative enzymes, other than CYPs, involved in the metabolism of drugs and other xenobiotics are: the flavin-containing monooxygenases, the molybdenum hydroxylases (aldehyde oxidase and xanthine oxidase), the prostaglandin H synthase, the lipoxygenases, the amine oxidases (monoamine, polyamine, diamine and semicarbazide-sensitive amine oxidases) and the alcohol and aldehyde dehydrogenases."
31,"2570842 | hordenine | Studies, with selective irreversible inhibitors of MAO, showed that hordenine was a highly selective substrate for MAO-B of liver and that it was not deaminated by the MAO-A of intestinal epithelium."
32,"21843599 | asparagus | Asparagus racemosus (AR) has earlier been reported to possess antidepressant activity possibly mediated through the monoaminergic system, and nootropic and anti amnestic activities possibly through the cholinergic system."
33,"14581168 | resin | The contaminants in deionized and distilled water (DDI water) boiled with polystyrene resin inhibited A-type monoamine oxidase (MAO, MAO-A preferentially deaminates serotonin and norepinephrine and regulates these amines concentration) activity in monkey brain mitochondria."
34,"3590227 | resin | In order to investigate the potency of amines to cause metabolic changes which are related to scleroderma, serum monoamine oxidase (MAO) activity to workers in an epoxy resin handling process was measured."
35,21938908 | whitefish | Study of substrate-inhibitory specificity of liver mitochondrial monoamine oxidase (MAO) of sexually mature individuals of the whitefish Coregonus lavaretus ludoga P. from the Ladoga Lake has revealed distinguished peculiarities of catalytical properties of this enzyme.
36,21469337 | whitefish | There is performed a comparative analysis of action of four acridine derivatives and of one xanthene derivative (pyronine G) on activity of liver monoamine oxidase (MAO) of two species of poikilothermal freshwater animals: a representative of amphibians--the common frog Rana temnporaria and a representative of the order Salmonidae--the European whitefish Coregonus lavaretus.
37,"10591047 | pentylamine | Injection of pentylamine, a substrate of MAO-B and semicarbazide-sensitive amine oxidase (SSAO) was also without significant effect."
38,890575 | pentylamine | Hyperthyroid rats metabolized the monoamines at an accelerated rate; thyroidectomized animals oxidized pentylamine at a reduced rate.
39,"402175 | pentylamine | The effects of a series of inhibitors of monoamine oxidase (EC 1.4.3.4) and diamine oxidase (EC 1.4.3.6) and of two chelating agents were studied in rats, with respect to the catabolism of labeled pentylamine and putrescine to radioactive carbon dioxide."
40,"3590227 | resins | In order to investigate the potency of amines to cause metabolic changes which are related to scleroderma, serum monoamine oxidase (MAO) activity to workers in an epoxy resin handling process was measured."
41,"24853578 | s. melongena | Using the calli model, our investigations revealed an increase in cell wall monoamine oxidase activity in S. torvum after R. solanacearum inoculation, which did not occur in S. melongena."
42,24494564 | ferulic acid | The neurochemical detection method was applied to observe the effect chronic administration with ferulic acid on monoamine neurotransmitter and monoamine oxidase activity.
43,25483788 | ferulic acid | The further neurochemical assays suggested that ferulic acid increased monoamine neurotransmitter levels in the brain regions that are relative to mood disorders: the hippocampus and frontal cortex.
44,25483788 | ferulic acid | The subsequent study suggested that monoamine oxidase A (MAO-A) activity was inhibited in the frontal cortex and hippocampus when treatment with 40 and 80 mg/kg ferulic acid; while MAO-B activity did not change significantly.
45,26592858 | ferulic acid | Ferulic acid has structural similarity with curcumin which is being reported for its monoamine oxidase (MAO) inhibitory activity.
46,"896004 | liquor | N1 was found to be significantly correlated to the content of 5-hydroxyindoleacetic acid in liquor, these measurements seem to be the most important in psychiatric disorders where the monoaminergic systems are supposed to be disturbed."
47,"24450221 | sturgeon | We performed comparative study of substrate and inhibitor specificity of liver monoamine oxidases (MAO) of the giant sturgeon Huso huso, starred sturgeon Asipenser stellatus, Persian sturgeon Asipenser persicus, and Russian sturgeon Asipenser gueldenstaedtii."
48,"516540 | l-malic acid | Administration of dibenzylhydracide of D,L-malic acid (inhibitor of monoamine oxidase) into animals caused not only inhibition but also transformation of the mitochondrial monoamine oxidase activity, which acquired the property to deaminate histamine."
49,"100968 | l-malic acid | An estimation was made of the influence of monoamine oxidase inhibitors, transamine and D, L-malic acid benzyldihydrazide on the type of a tumor produced."
50,26856071 | chum salmon | The substrate and inhibitory specificity of mitochondrial monoamine oxidase (MAO) in the liver of males of the summer form of the chum salmon Oncorhynchus keta was studied.
51,"26414358 | zingiber officinale | Based on pivotal roles of oxidative stress, dopaminergic and cholinergic systems on the pathophysiology of Parkinson's disease (PD), the searching for functional food for patients attacked with PD from Cyperus rotundus and Zingiber officinale, the substances possessing antioxidant activity, and the suppression effects on monoamine oxidase B (MAO-B) and acetylcholinesterase (AChE) have been considered."
52,"8908374 | lens culinaris | Copper diamine oxidase from lentil (Lens culinaris) seedlings was shown to be able to catalyze the oxidative deamination of a wide range of aliphatic and aromatic monoamine compounds, including some amino acids."
53,"10065374 | dimethylamine | The effects of amine oxidase inhibitors upon the daily urinary excretion of monomethylamine (MMA), dimethylamine (DMA), trimethylamine (TMA) and ammonia in the rat have been examined."
54,"25924796 | 1,8-cineole | The activities of superoxide dismutase (SOD), glutathione-s-transferases (GSTs), monoamine oxidase (MAO), nitric oxide synthase (NOS), and acetylcholinesterase (AChE) were significantly changed after treatment with 1,8-cineole for 4, 8, 12, and 24 h. SOD and GSTs are associated with the protection mechanism of scabies mites."
55,"9144160 | disulfides | In addition, the monoamines induced an elevation in protein mixed disulfides within mitochondria."
56,"11268121 | sanguinarine | The effects of benzophenanthridine alkaloids, such as sanguinarine and chelidonine, on monoamine -oxidase (MAO) activity in mouse brain were investigated."
57,"14989176 | sanguinarine | majus L.) and ""Sanguirythrine"" (a mixture of the alkaloids sanguinarine and chelerythrine, w/w 3:7, isolated from Macleaya), are irreversible inhibitors of oxidative deamination reaction of serotonin and tyramine as substrates, catalyzed by rat liver mitochondrial monoamine oxidase (MAO)."
58,"14989176 | sanguinarine | Judging from the data obtained, sanguinarine and chelerythrine appear to exert similar inhibitory effects in this reaction, since sanguinarine and ""Sanguirythrine"" have similar values of bimolecular rate constants of their interaction with mitochondrial MAO."
59,"21061647 | sanguinarine | Out of the studied five isoquinoline agents, the medication Ukrain and alkaloid chelidonine have the highest inhibitory action; the agent Sanguirythrin and alkaloids berberine and sanguinarine produce the weaker monoamine oxidase effect."
60,"16335248 | sanguinarine | It has been shown, that some benzo[c]-phenanthridine and diisoquinoline alkaloids isolated from Chelidonium majus L. and Macleaya (Bocconia) cordata and M. microcarpa (berberine, sanguinarine, chelidonine) and of drugs (""Ukrain"" and ""Sanguirythrine"") inhibited the enzyme activity of acetylcholinesterase from human erythrocyte and monoamine oxidase from the rat liver."
61,"25243093 | grapefruit | This study sought to investigate the effect of infusions from green tea (Camellia sinensis) and some citrus peels [shaddock (Citrus maxima), grapefruit (Citrus paradisi), and orange (Citrus sinensis)] on key enzymes relevant to the management of neurodegenerative conditions [monoamine oxidase (MAO) and butyrylcholinesterase (BChE)]."
62,"1675541 | cerium | Light microscopical procedures were optimized and tested for specificity for the histochemical demonstration of D-amino acid oxidase, alpha-hydroxy acid oxidase, monoamine oxidase, and xanthine oxidase using cerium ions and a visualization step originally described by Angermller and Fahimi (1988a, b), and modified for D-amino acid oxidase by Gossrau et al."
63,11501051 | liquiritigenin | To study the inhibition of liquiritigenin (1) and isoliquiritigenin (2) isolated from Sinofranchetia chinensis on rat monoamine oxidase A and B (MAO A and B).
64,"952938 | benzoic acid | The bovine liver monoamine oxidase (EC 1.4.3.4) was found to be inactivated by various well-known sulfhydryl reagents like p-mercuribenzoate, methylmercuric iodide and 5,5'-dithiobis-(2-nitro benzoic acid)."
65,"809293 | uricase | Uricase, ascorbic oxidase and monoamine oxidase are not affected."
66,"26821152 | kaempferol | In addition to the analysis of kaempferol, which is present in higher concentration than in other Italian wines, in vitro assays were performed to evaluate, for the first time, the inhibition of the human monoamine oxidases (hMAO-A and hMAO-B)."
67,"7975374 | l-lysine | On incubation of mitochondrial fractions of homogenates of lungs, brain, heart, liver or kidney of the intoxicated rats (as compared with the corresponding fractions from the intact animals) a decrease was noted in deamination of the substrates of monoamine oxidases serotonin, tryptamine, benzylamine, tyramine; at the same time, deamination of glucosamine and gamma-aminobutyric acid was increased and deamination of putrescine and L-lysine appeared."
68,"17433047 | pisum sativum | The interaction of xenon with copper/6-hydroxydopa (2,4,5-trihydroxyphenethylamine) quinone (TPQ) amine oxidases from the plant pulses lentil (Lens esculenta) and pea (Pisum sativum) (seedlings), the perennial Mediterranean shrub Euphorbia characias (latex), and the mammals cattle (serum) and pigs (kidney), were investigated by NMR and optical spectroscopy of the aqueous solutions of the enzymes."
69,"1361009 | phosphofructokinase | Ammonia, lactate and glutamate levels and the activities of glutamine synthetase (GS), glutamate dehydrogenase (GDH), glutaminase (GLN), aspartate transaminase (AST), phosphofructokinase (PFK) and monoamine oxidase (MAO) were compared in the brain tissue of normal and P. yoelii infected mice."
70,1361009 | phosphofructokinase | The activity of monoamine oxidase and phosphofructokinase increased by 105% (P < 0.02) and 41% (P < 0.05) respectively while glutamate dehydrogenase decreased by 15% (P < 0.001).
71,"25801321 | shrimp | We used three neurological enzymes, cholinesterase (ChE), adenosine triphosphatase (ATPase), and monoamine oxidase (MAO), from a freshwater planarian (Dugesia japonica) and green neon shrimp (Neocaridina denticulata) as biomarkers to examine the effects of pain relievers on in vitro activity."
72,"4462741 | trimethylamine | Trimethylamine dehydrogenase activity is potently inhibited by trimethylsulphonium chloride, by tetramethylammonium chloride and other quaternary ammonium salts, and by monoamine oxidase inhibitors of the substituted hydrazine and the non-hydrazine types."
73,"15565251 | trimethylamine | The review focused on studies of mammalian monoamine oxidases and the bacterial enzymes trimethylamine dehydrogenase, monomeric sarcosine oxidase and dimethylglycine oxidase."
74,"12146940 | trimethylamine | The observation that the anionic form of L-proline with a neutral amino group is the reactive species in the reduction of MSOX is similar to that observed for other flavoenzymes that oxidize amines, including monoamine oxidase and trimethylamine dehydrogenase."
75,"2568436 | trimethylamine | The effects of amine oxidase inhibitors upon the daily urinary excretion of monomethylamine (MMA), dimethylamine (DMA), trimethylamine (TMA) and ammonia in the rat have been examined."
76,3559567 | bisulfite | DNA methylation in the MAOA promoter region was quantified by bisulfite pyrosequencing using genomic DNA isolated from peripheral blood leukocytes.
77,"25243093 | camellia sinensis | This study sought to investigate the effect of infusions from green tea (Camellia sinensis) and some citrus peels [shaddock (Citrus maxima), grapefruit (Citrus paradisi), and orange (Citrus sinensis)] on key enzymes relevant to the management of neurodegenerative conditions [monoamine oxidase (MAO) and butyrylcholinesterase (BChE)]."
78,"28095073 | camellia sinensis | The complementary use of green tea (Camellia sinensis), red wine (Vitis vinifera), arctic root (Rhodiola rosea), and dwarf periwinkle (Vinca minor) may have a greater therapeutic effect than current pharmaceutical drugs, such as monoamine oxidase inhibitors or dopamine agonists alone."
79,26856071 | oncorhynchus keta | The substrate and inhibitory specificity of mitochondrial monoamine oxidase (MAO) in the liver of males of the summer form of the chum salmon Oncorhynchus keta was studied.
80,"15245914 | crassostrea gigas | In this study, in the Pacific oyster, Crassostrea gigas, full-length cDNAs encoding two non-P450 phase I enzymes, flavin-containing monooxygenase 2 (FMO-2) and monamine oxidase A (MAO A), were characterized."
81,"6329037 | radish | Monoamine oxidase is assayed in tissue by a colorimetric reaction using horse radish peroxidase and 2,2'-azinodi(ethylbenzthiazoline-6-sulfonic acid to measure H2O2 formed during oxidation of amines."
82,"1567465 | aminoacetone | Metabolism of 100 microM aminoacetone was completely inhibited by 1 mM propargylamine and MDL 72145, drugs which are capable of inhibiting the membrane-bound semicarbazide-sensitive amine oxidase (SSAO) activity found in vascular smooth muscle cells, whereas 1 mM pargyline and deprenyl which are inhibitors of monoamine oxidase, were without inhibitory effect."
83,"10328770 | aminoacetone | Aminoacetone, an intermediate in the metabolism of threonine and glycine, has been proposed to be an endogenous substrate for semicarbazide-sensitive amine oxidase (SSAO)."
84,"11266660 | aminoacetone | Semicarbazide-sensitive amine oxidase (SSAO) catalyzes the deamination of methylamine and aminoacetone to produce toxic aldehydes, i.e."
85,4722069 | aminoacetone | It is suggested that the conversion of aminoacetone into methylglyoxal is catalysed by an amine oxidase.
86,"21420424 | scallop | These results indicated that CfMAO, as the homologue of monoamine oxidase in scallop C. farreri, could modulate the immune response of scallops through the deamination of monoamines."
87,"9595282 | scallop | The efficacies of various agents that affect monoamine synthesis, oxidation and methylation were evaluated in the scallop, Placopecten magellanicus, through the use of high performance liquid chromatography with electrochemical detection."
88,"24239796 | scallop | After the scallops were cultured at 28C, the mRNA expression level of dopa decarboxylase (CfDDC) and -adrenoceptor (CfAR) increased significantly (P<0.01), whereas that of monoamine oxidase (CfMAO) was down-regulated in the first 6h (P<0.05), and then up-regulated to the maximum level at 24h (P<0.01)."
89,"6283820 | aflatoxin b1 | Substrates of diamine oxidase did not inhibit dimethylnitrosamine mutagenesis and, furthermore, monoamine oxidase inhibitors had no effect on mutagenesis by benzo[a]pyrene or aflatoxin B1."
90,"198204 | arsenic | The list of drugs which can cause such effects is lengthy and includes antiinfectious drugs such as sulfamides and derivatives of hydroxyquinoleins, chloramphenicol especially when used to treat cystic fibrosis of the pancreas in children, the antituberculins ethambutol in high doses and isoniazide, which occasion particular risks when combined; antiparasitics such as quinine and its derivatives chloroquine and hydroxychloroquine, which cause optic neuropathy through their effect on the retina; arsenic pentavalents such as tryparsamide, quinacrine, trecator and mystatin; drugs affecting the central nervous system such as monoamineoxydase inhibitors, laroxyl, phenothiazine and the barbituates; anticonvulsants such as phenytoin; antimitotics such as vincristine; digitalics, disulfiram; penicillamines, and pexid."
91,"6764592 | arsenic | Significant changes in the steady-state level of three major neurotransmitters, dopamine, norepinephrine, and 5-hydroxytryptamine, and monoamine oxidase were observed following chronic arsenic (III) exposure."
92,"6863305 | cardiolipin | A strong inhibition of monoamine oxidase B was observed with phosphatidylserine and a moderate activation of monoamine oxidase A with phosphatidylinositol, while cardiolipin had no significant effect on either form."
93,14656589 | platinum | The biosensor was obtained by physical entrapment of monoamine oxidase in a sol-gel film applied on platinum or carbon paste conducting support.
94,"6283820 | aflatoxin | Substrates of diamine oxidase did not inhibit dimethylnitrosamine mutagenesis and, furthermore, monoamine oxidase inhibitors had no effect on mutagenesis by benzo[a]pyrene or aflatoxin B1."
95,"3295116 | horse | Monoamine oxidase is assayed in tissue by a colorimetric reaction using horse radish peroxidase and 2,2'-azinodi(ethylbenzthiazoline-6-sulfonic acid to measure H2O2 formed during oxidation of amines."
96,"888410 | horse | A number of compounds have been tested as substrates of, first, the amine oxidases of rabbit and guinea-pig liver and of goat, pig, horse, and dog plasma and, second, the ""diamine oxidase"" of pig kidney."
97,24265870 | a. keiskei | These three isolated compounds are the major active ingredients of A. keiskei K. to inhibit the MAOs and DBH activities.
98,"10638628 | arecaidine | Alkaloids such as arecaidine, arecoline, and a few other constituents, reported to be present in Areca catechu were also tested, but none of them were found to inhibit MAO."
99,"25743119 | m. oleifera | Therefore, the effects on various factors playing important roles in male sexual behavior, such as antioxidant effects, the suppression of monoamine and phosphodiesterase type 5 (PDE-5) activities, serum testosterone and corticosterone levels, and histomorphological changes in the testes, of a hydroethanolic extract of M. oleifera leaves were investigated."
100,"25879203 | common carp | The effects of long-term exposure to TBT on antioxidant related indices (MDA, malondialdehyde; SOD, superoxide dismutase; CAT, catalase; GR, glutathione reductase; GPx, glutathione peroxidase), Na+-K+-ATPase and neurological parameters (AChE, acetylcholinesterase; MAO, monoamine oxidase; NO, nitric oxide) in the brain of common carp were evaluated."
101,"9363646 | opossum | To explore further the usefulness of opossum kidney (OK) cells in the study of renal dopaminergic physiology, we have undertaken the study of aromatic L-amino acid decarboxylase (AAAD), catechol-O-methyltransferase (COMT) and type A and B monoamine oxidase (MAO-A and MAO-B), the main enzymes involved in the synthesis and degradation of dopamine."
102,"11263670 | mn2+ | Cu2+ dose-dependently reduced flavin adenine dinucleotide (FAD)-dependent monoamine oxidase A (MAO-A) activity in a time-independent manner, with an IC50 value approximately 20 microM, whereas Mn2+ had no effect."
103,23461900 | baicalein | The top two ranked targets catechol-O-methyltransferase (COMT) and monoamine oxidase B (MAO-B) have been proposed as targets of baicalein by literatures.
104,"1403805 | baicalein | Inhibition of catecholamine reuptake with cocaine or catecholamine metabolism with tropolone and parglyine (monoamine oxidase and catecholamine-O-methyl transferase inhibitors, respectively) did not alter baicalein's ability to potentiate contractile responses to nerve stimulation."
105,"25242620 | integrin | STEMPRO human ADSCs at passage 2 were treated with CHIR99021 (GSK3 inhibitor), E-616452 (TGF1 receptor kinase inhibitor), A-83-01 (TGF type 1 receptor inhibitor), valproic acid (histone deacetylase inhibitor), tranylcypromine (monoamine oxidase inhibitor) and all-trans retinoic acid for 72h. The mesenchymal-epithelial transition was shown by down-regulation of mesenchymal genes (Slug, Zinc Finger E-box Binding Homeobox 1 ZEB1, integrin 5 ITGA5 and vimentin VIM) and up-regulation of epithelial genes (E-cadherin, Epithelial Cell Adhesion Molecule EpCAM, Zonula Occludens-1 ZO-1, occludin, deltaN p63 Np63, Transcription Factor 4 TCF4 and Twist Family bHLH Transcription Factor TWIST), compared to untreated ADSCs."
106,"3140421 | uridine | In vivo monoamine oxidase (MAO) and superoxide dismutase(SOD) activities, the contents of monoamines(5-HT, NE, DA), malondialdehyde (MDA), RNA and protein, and the incorporations of [3H] Uridine into RNA and [3H] Leucine into protein in liver tissue were measured."
107,"4152067 | uridine | The inhibition of MAO-B activity and the increase of monoamines(5-HT, DA) level, the increase of RNA and protein level, and the incorporations of [3H] Uridine into RNA and [3H] Leucine into protein in liver tissue, the enhancement of SOD activity and the decrease of MDA content in brain and liver tissues were selectively observed in old mice(24 months) than in young mice(1 month) by LRJ (i.g., 4.0 g/kg) administrated orally for 10 successive days."
108,"24904963 | crocus sativus | Although there are clinical trials and in vivo studies in literature regarding the anxiolytic and antidepressant activities of the components of Crocus sativus L., their effects on the human monoamine oxidases (hMAO-A and hMAO-B), enzymes which are involved in mental disorders and neurodegenerative diseases, have not yet been investigated."
109,"761415 | syrup | Monoamine oxidase (MAO) and catechol-o-methyl transferase (COMT) activities have been measured in fibroblasts from nine healthy controls, three patients with maple syrup urine disease (MSUD) and six patients with Lesch-Nyhan syndrome."
110,"2063399 | gossypol | In order to study the effect of gossypol on the monoamine oxidase (MAO) activity in pregnant rat organs, 20 day pregnant rats were sacrificed, and MAO activity/0.02 g tissue of several organs and total MAO activity/organ, were determined."
111,"14713305 | ruthenium | An optical bio-sniffer for methyl mercaptan (MM) one of major odorous chemicals in halitosis (bad breath) was constructed by immobilizing monoamine oxidase type A (MAO-A) onto a tip of a fiber optic oxygen sensor (od: 1.59 mm) with an oxygen sensitive ruthenium organic complex (excitation: 470 nm, fluorescent: 600 nm)."
112,"28418429 | pomes | Both the polar and apolar fruit extracts showed noteworthy radical scavenger activity and inhibitory effects against monoamine oxidase A (MAO-A), tyrosinase (TYR) and -glucosidase, making C. pannosus red pomes a promising candidate ingredient in functional foods and dietary supplements."
113,25509046 | katsuwonus pelamis | There has been carried out a study of substrate and inhibitor specificity of the liver mitochondrial monoamine oxidase (MAO) of the striped-bellied tunny Katsuwonus pelamis.
114,25490845 | katsuwonus pelamis | There has been carried out a study of substrate and inhibitor specificity of the liver mitochondrial monoamine oxidase (MAO) of the striped-bellied tunny Katsuwonus pelamis.
115,"17215008 | cyprinus carpio | We have previously reported that carp (Cyprinus carpio) tissue mitochondria contain a novel form of monoamine oxidase (MAO), which belongs neither to MAO-A nor to MAO-B of the mammalian enzyme."
116,20640873 | crotonyl-coa | The purified tagged MaoC shows the enoyl-CoA hydratase activity of 58 U/mg towards crotonyl-CoA.
117,"25296658 | dodecanoic acid | The active contaminants were identified by gas chromatography-mass spectroscopy as dodecan-1-ol, dodecyl 3-(3-dodecoxy-3-oxopropyl)sulfanylpropanoate, and dodecanoic acid, and they were found to be selective monoamine oxidase-B inhibitors."
118,11501051 | isoliquiritigenin | To study the inhibition of liquiritigenin (1) and isoliquiritigenin (2) isolated from Sinofranchetia chinensis on rat monoamine oxidase A and B (MAO A and B).
119,21938908 | coregonus | Study of substrate-inhibitory specificity of liver mitochondrial monoamine oxidase (MAO) of sexually mature individuals of the whitefish Coregonus lavaretus ludoga P. from the Ladoga Lake has revealed distinguished peculiarities of catalytical properties of this enzyme.
120,21469337 | coregonus | There is performed a comparative analysis of action of four acridine derivatives and of one xanthene derivative (pyronine G) on activity of liver monoamine oxidase (MAO) of two species of poikilothermal freshwater animals: a representative of amphibians--the common frog Rana temnporaria and a representative of the order Salmonidae--the European whitefish Coregonus lavaretus.
