,0
29,"25037050 | tocopherols | Conversely, cancer association was inverse with acetaminophen metabolites (OR <0.1), tocopherols (OR = 0.3), sitostanol (OR = 0.2), 3-dehydrocarnitine (OR = 0.4), pterin (OR = 0.3), conjugated-linoleate-18-2N7 (OR = 0.2), N-2-furoyl-glycine (OR = 0.3) and p-aminobenzoate (PABA, OR = 0.2)."
30,"2138998 | guanine | In order to cast light on carcinogen-specific molecular mechanisms underlying experimental hepatocarcinogenesis in rats, in vivo mutagenicity and mutation spectra of known genotoxic rat hepatocarcinogens N-nitrosopyrrolidine (NPYR), and 2-amino-3-methylimidazo[4,5-f]quinoline (IQ), as well as the nongenotoxic hepatocarcinogen di(2-ethylhexyl)phthalate (DEHP) and the noncarcinogen acetaminophen (AAP), were investigated in guanine phosphoribosyltransferase (gpt) delta transgenic rats, a recently developed animal model for genotoxicity analysis."
31,"19522529 | guanine | Different kinds of important inorganic and organic electroactive compounds (i.e., probe molecule (potassium ferricyanide), free bases of DNA (guanine (G), adenine (A), thymine (T), and cytosine (C)), oxidase/dehydrogenase-related molecules (hydrogen peroxide (H2O2)/beta-nicotinamide adenine dinucleotide (NADH)), neurotransmitters (dopamine (DA)), and other biological molecules (ascorbic acid (AA), uric acid (UA), and acetaminophen (APAP)) were employed to study their electrochemical responses at the CR-GO/GC electrode, which shows more favorable electron transfer kinetics than graphite modified glassy carbon (graphite/GC) and glassy carbon (GC) electrodes."
32,12814970 | genistein | The interaction studies showed that genistein inhibited formation of acetaminophen from phenacetin with an IC50 value of 16 microM.
33,23333575 | genistein | The purpose of this study was to investigate genistein's influence on the relationship between the activation of uridine diphosphate glucuronosyltransferase (UGTs) and the protection against acetaminophen-induced liver toxicity.
34,"27781231 | genistein | The results of the MTT, AST, ALT, LDH, GSH and GSSG assays showed that genistein evidently protected the cells from acetaminophen-induced injury in a dose-dependent manner."
35,"27781231 | genistein | The control cells were treated with 10 mM acetaminophen without genistein to compare with the effects of the combination of acetaminophen and genistein on the expression of UGT1A1, 1A6 and 1A9, Nrf2 and Keap1 mRNAs, as well as the expression of Nrf2 and Keap1 proteins, which were tested by western blotting."
36,"27781231 | genistein | Accordingly, the residual acetaminophen content was obviously reduced and acetaminophen glucuronidation increased after 24 hours of treatment with genistein in a dose-dependent manner."
37,"28240227 | genistein | In this report, selected non-steroidal anti-inflammatory drugs (NSAIDs), indomethacin and nimesulide, and analgesics acetaminophen, alone, as well as in combination with isoflavone genistein as potential glycosaminoglycan (GAG) metabolism modulators were considered for the treatment of mucopolysaccharidoses (MPSs) with neurological symptoms due to the effective blood-brain barrier (BBB) penetration properties of these compounds."
38,"28240227 | genistein | We found that indomethacin and nimesulide, but not acetaminophen, inhibited GAG synthesis in fibroblasts significantly, while the most pronounced impairment of glycosaminoglycan production was observed after exposure to the mixture of nimesulide and genistein."
39,28430162 | ginseng | The present study aimed to evaluate the potential hepatoprotective effects of black ginseng (BG) on APAP-induced mice liver injuries and the underlying mechanisms of action were further investigated for the first time.
40,25495794 | ginseng | This work aimed at evaluating the effect of fermented ginseng (FG) and fermented red ginseng (FRG) against rat liver injury caused by paracetamol (acetaminophen (APAP)).
41,"15916450 | ginseng | Previously, we found that Korean red ginseng suppressed acetaminophen (APAP)-induced hepatotoxicity via alteration of its metabolic profile involving GSTA2 induction and that ginsenoside Rg3 was a major component of this gene induction."
42,"10445408 | grapefruit | However, interaction between acetaminophen (also known as paracetamol in many parts of the world) and grapefruit juice has never been reported."
43,10445408 | grapefruit | The interaction of grapefruit juice with acetaminophen was examined in an in vivo mouse model.
44,"10445408 | grapefruit | BALB/c mice were fed 200 microL of white grapefruit juice or pink grapefruit juice by oral gavage (three mice in each group) followed by oral delivery of 10, 50, or 100 mg/kg acetaminophen 1 hour later."
45,10445408 | grapefruit | White grapefruit juice increased concentrations of acetaminophen in mice both 1 hour and 2 hours after feeding compared to controls.
46,"10445408 | grapefruit | In contrast, pink grapefruit juice increased acetaminophen concentrations 2 hours after feeding compared to controls."
47,10445408 | grapefruit | Because acetaminophen is almost completely absorbed these effects seems to be related to increased elimination half-life of acetaminophen because of interaction with grapefruit juice.
48,"9829623 | allium sativum | S-Allylmercaptocysteine (SAMC), one of the water-soluble organosulfur compounds in ethanol extracts of garlic (Allium sativum L.), has been shown to protect mice against acetaminophen (APAP)-induced liver injury."
49,"15916450 | allium sativum | Allium sativum (garlic) decreased the area under the plasma concentration-time curve (AUC) and maximum plasma concentration of saquinavir, but not ritonavir and paracetamol (acetaminophen), in volunteers."
50,"9795255 | phloretin | Intestinal glucuronidation and absorption of p-nitrophenol (p-NP), acetaminophen (APAP) and 1-naphthol (alpha-NA) in the presence of phloridzin (inhibitor of Na+/glucose cotransporter) and phloretin (aglycone of phloridzin) were studied."
51,"20657455 | gallic acid | Compounds including L-phenylalanine, L-serine, L-valine, urea, 4-acetaminophen, gallic acid and L-ascorbic acid were analyzed using both sources."
52,"19093450 | amoxycillin | In the present study, the possible drug interactions of andrographolide with co-administering drugs such as acetaminophen, amoxycillin, aspirin, chlorpheniramine and norfloxacin to treat various infectious and inflammatory diseases that may be induced during absorption process were examined using artificial lipophilic membrane and everted rat intestine."
53,"25663923 | amoxycillin | The patient was treated with morphine sulfate, metoclopramide, midazolam, diazepam, acetaminophen, ketamine, hyoscine butylbromide, propofol, dexamethasone and amoxycillin, and received parenteral nutrition."
54,"25660481 | cinnamaldehyde | Canine hepatocytes were harvested and cell viability of clove-leaf oil (CLO), eugenol (EUG), lemongrass oil (LGO), guanosine monophosphate (GMP), inosine monophosphate (IMP), sorbose, ginger-root extract (GRE), cinnamon-bark oil (CBO), cinnamaldehyde (CINA), thymol oil (TO), thymol (THYM), and citric acid were assessed with positive controls: acetaminophen (APAP), aflatoxin B1 and xylitol."
55,"2138998 | leukotriene b4 | We have studied discrete events in the process of signal transduction: NSAIDs but not a related analgesic drug (acetaminophen), inhibited aggregation in response to the chemoattractants f-Met-Leu-Phe (FMLP), leukotriene B4, and C5a."
56,"6307367 | leukotriene b4 | Leukotriene B4, glutathione disulfide, and the glutathione-S-conjugate of acetaminophen did not interfere with the transport of leukotriene C into hepatocytes."
57,19969075 | arjunolic acid | Arjunolic acid also prevented acetaminophen-induced hepatic glutathione depletion and APAP metabolite formation although arjunolic acid itself did not affect hepatic glutathione levels.
58,19969075 | arjunolic acid | The results suggest that this preventive action of arjunolic acid is due to the metabolic inhibition of specific forms of cytochrome P450 that activate acetaminophen to N-acetyl-p-benzoquinone imine.
59,"19969075 | arjunolic acid | In addition, administration of arjunolic acid 4 h after acetaminophen intoxication reduced acetaminophen-induced JNK and downstream Bcl-2 and Bcl-xL phosphorylation, thus protecting against mitochondrial permeabilization, loss of mitochondrial membrane potential, and cytochrome c release."
60,"19969075 | arjunolic acid | In conclusion, the data suggest that arjunolic acid affords protection against acetaminophen-induced hepatotoxicity through inhibition of P450-mediated APAP bioactivation and inhibition of JNK-mediated activation of mitochondrial permeabilization."
61,"25689681 | benzofuran | In addition to the expected activation of PPAR by fibrate drugs, di(2-ethylhexyl) phthalate, and perfluorinated compounds, PPAR was activated by benzofuran, galactosamine, and TCDD and suppressed by hepatotoxins acetaminophen, lipopolysaccharide, silicon dioxide nanoparticles, and trovafloxacin."
62,"8712683 | lipoamide | In common, both these proteins have a bis (cysteinyl) sequence motif cys-X-X-cys (for lipoamide dehydrogenase it is cys-X-X-X-X-cys) which is also an integral part of several other proteins such as thioredoxin, protein disulfide isomerase, endoplasmic reticulum protein (ERp72), selenoprotein W, 56kDa acetaminophen binding protein and formate dehydrogenase."
63,2069597 | barium | Lambs suckled a test solution consisting of acetaminophen and barium sulfate and 1 week later were tube fed the same test solution.
64,22560975 | crustaceans | Chronic toxicity of acetaminophen and lincomycin were evaluated using freshwater organisms including two crustaceans (Daphnia magna and Moina macrocopa) and a fish (Oryzias latipes).
65,"8125211 | uvaol | Uvaol significantly decreased CCl4- and Cd-induced hepatotoxicity, but had no effect on acetaminophen toxicity."
66,"890209 | unsaturated fatty acids | Acute injury to the liver frequently is due to the action of cytochrome P450, which breaks down drugs into electrophiles or free radicals; these reactive metabolites can covalently bind to protein and unsaturated fatty acids or induce lipid peroxidation, respectively."
67,"24788533 | caprolactam | Physical mixtures (PMs) and extruded formulations of PMOL with either polyvinyl caprolactam graft copolymer (Soluplus) or vinylpyrrolidone-vinyl acetate copolymer (Kollidon) in the solid state were characterized by using differential scanning calorimetry, hot-stage microscopy, and scanning electron microscopy."
68,"24280655 | cajanus cajan | The present work aims to evaluate the protective and ameliorative effects of two plant-derived proteins obtained from the seeds of Cajanus cajan and Caesalpinia gilliesii(Leguminosae) against the toxic effects of acetaminophen in kidney after chronic dose through determination of certain biochemical markers including total urea, creatinine, and kidney marker enzyme, that is, glyceraldehyde-3-phosphate dehydrogenase (GAPDH)."
69,"24414985 | cajanus cajan | This study aims to evaluate two proteins derived from the seeds of the plants Cajanus cajan (Leguminosae) and Caesalpinia gilliesii (Leguminosae) for their abilities to ameliorate the toxic effects of chronic doses of acetoaminphen (APAP) through the determination of certain biochemical parameters including liver marker enzymes: alanine aminotransferase, aspartate aminotransferase, alkaline phosphatase, and total bilirubin."
70,24816177 | oncorhynchus | The present study aimed to assess the toxic effects of acetaminophen (APAP) in Oncorhynchus mykiss following acute and chronic exposures in realistic levels.
71,"11351354 | punicalagin | In this study, the antihepatotoxic activity of punicalagin and punicalin on acetaminophen-induced toxicity in the rat liver was evaluated."
72,"11351354 | punicalagin | After evaluating the changes of several biochemical functions in serum, the levels of aspartate aminotransferase (AST) and alanine aminotransferase (ALT) were increased by acetaminophen administration and reduced by punicalagin and punicalin."
73,12893300 | l-proline | A kinetic study of acetaminophen oxidation by tyrosinase in the presence of a physiological nucleophilic agent such as the amino acid L-proline is performed in the present paper.
74,"15062871 | tungsten | The progression of liver injury produced by the compounds causing oxidative stress without initiating the generation of free radicals such as bromobenzene (BB), or acetaminophen (AAP), could not be inhibited by tungsten."
75,15754502 | vigna angularis | We examined the hepatoprotective effect of water-extract from adzuki bean (Vigna angularis) hulls on acetaminophen (AAP)-induced damage in rat liver.
76,"11791733 | ajoene | Ajoene, a garlic-derived sulfur-containing compound, exhibited a hepatoprotective effect against acetaminophen-induced liver injury in mice."
77,11791733 | ajoene | The pretreatment by ajoene also suppressed the decrease in hepatic protein thiol content resulting from acetaminophen administration.
78,"3544930 | acetol | As direct evidence that P-450ALC catalyzes numerous metabolic reactions, the purified rabbit enzyme has been used in a reconstituted system to demonstrate various metabolic transformations, including the oxidation of various alcohols, acetone, acetol, p-nitrophenol, and aniline, the dealkylation of substituted nitrosamines, the reductive dechlorination of carbon tetrachloride, carbon tetrachloride-induced lipid peroxidation, and acetaminophen activation to form the glutathione conjugate."
79,"3825173 | haem | In the case of cytochrome P-450b, the acetylamino group of paracetamol most closely approached the haem iron ion."
80,"2219115 | (-)-borneol | The in vitro activity of UGTs was evaluated using different substrates such as estradiol (UGT1A1), acetaminophen (UGT1A6/7), morphine (UGT2B1), testosterone (UGT2B1/3/6), androsterone (UGT2B2), and (-)-borneol (UGT2B12)."
81,"8878354 | phenylacetate | Chemical biopsy of glucuronic acid by acetaminophen also permits the study of glycogen synthesis whereas chemical biopsies of liver glutamine by phenylacetate and of cytosolic acetyl-CoA by sulfamethoxazole give important information concerning, respectively, Krebs cycle activity and glconeogenesis and on lipogenesis and cholesterol synthesis."
82,"7989593 | phenylacetate | To determine the effect of insulin-dependent diabetes mellitus (IDDM) on rates and pathways of hepatic glycogen synthesis, as well as flux through hepatic pyruvate dehydrogenase, we used 13C-nuclear magnetic resonance spectroscopy to monitor the peak intensity of the C1 resonance of the glucosyl units of hepatic glycogen, in combination with acetaminophen to sample the hepatic UDP-glucose pool and phenylacetate to sample the hepatic glutamine pool, during a hyperglycemic-hyperinsulinemic clamp using [1-13C]-glucose."
83,"9815005 | phenylacetate | Anaplerotic, pyruvate recycling, and gluconeogenic fluxes were measured by 13C isotopomer analysis of plasma glucose, urinary phenylacetylglutamine, and urinary glucuronide in normal, 24-h-fasted individuals after ingestion of [U-13C]propionate, phenylacetate, and acetaminophen."
84,"1865562 | phenylacetate | Thus, glucuronide formation has been used to sample hepatic uridine diphosphate glucose (UDP-glucose) and study glycogen metabolism and the pentose pathway, phenylacetate to sample hepatic alpha-ketoglutarate and estimate relative flux through the Krebs cycle, and acetylation to sample hepatic acetyl CoA."
85,"3356406 | polyamines | Polyamines and acetylpolyamines were analyzed in the liver, spleen, lung, kidney, serum and urine by high-performance liquid chromatography on a column of cation-exchange resin after administering various cytotoxic substances to male mice."
86,"3356406 | polyamines | All of the compounds tested more or less affected the tissue levels of polyamines, including putrescine, spermidine, spermine and acetylpolyamines (N1-acetylspermidine and N1-acetylspermine)."
87,"16359826 | polyamines | In vitro, transglycation occurs readily with amino acids, polyamines, thiols and thiolamines."
88,"22433041 | asparagus | In this study, the effect of Asparagus falcatus extract on acetaminophen-induced liver injury was investigated in vivo."
89,"20354348 | nobiletin | Nobiletin, the most important compound in the n-hexane-soluble fraction, also had suppressive effects on liver injuries induced by carbon tetrachloride, acetaminophen and GalN/lipopolysaccharide (LPS) in addition to liver injury induced GalN."
90,"11330834 | proanthocyanidins | Specifically, some of our earlier studies have shown that IH636 grape seed proanthocyanidin extract (GSPE, commercially known as ActiVin) provides excellent concentration- and dose-dependent protection against toxicities induced by diverse agents, such as acetaminophen, hydrogen peroxide, 12-O-tetradecanoylphorbol-13-acetate (TPA), smokeless-tobacco extract, idarubicin and 4-hydroxyperoxycyclophosphamide in both in vitro and in vivo models."
91,"11334361 | proanthocyanidins | This study assessed the ability of IH636 grape seed proanthocyanidin extract (GSPE) to prevent acetaminophen (AAP)-induced nephrotoxicity, amiodarone (AMI)-induced lung toxicity, and doxorubicin (DOX)-induced cardiotoxicity in mice."
92,"26175014 | selenite | Of the chemicals examined, 13-cis-retinoic acid, ethanol, ibuprofen, lead acetate, salicylic acid, and selenate inhibited the migration of cNCCs at their embryotoxic concentrations; no effects were observed for acetaminophen, caffeine, indium, phenytoin, selenite, tributyltin, and valproic acid."
93,"2901147 | selenite | Pretreatment of male, Sprague-Dawley rats with sodium selenite (12.5 mumol Se/kg, ip) 24 hr prior to acetaminophen administration produced a significant protection against the hepatotoxic effects of acetaminophen as assessed by a decrease in the plasma appearance of alanine aminotransferase and aspartate aminotransferase activities following acetaminophen."
94,9687086 | kaurenoic acid | It was found that such fractions as well as kaurenoic acid and luteolin exhibit marked antinociceptive action in mice using acetic acid-induced writhing.
95,"8619244 | molybdate | However, we recently reported that molybdate decreases the sulfation of acetaminophen in rat liver."
96,"8033252 | molybdate | Administration of molybdate, which is an alternative substrate for intestinal and renal sulfate transport as well as for ATP-sulfurylase, depleted both sulfate and PAPS in liver and markedly inhibited sulfation of acetaminophen."
97,"7932164 | molybdate | The effect of molybdate on the pharmacokinetics of acetaminophen (AA, 150 mg/kg i.v.)"
98,"15486947 | 2-amino-3-methylimidazo[4,5-f]quinoline | In order to cast light on carcinogen-specific molecular mechanisms underlying experimental hepatocarcinogenesis in rats, in vivo mutagenicity and mutation spectra of known genotoxic rat hepatocarcinogens N-nitrosopyrrolidine (NPYR), and 2-amino-3-methylimidazo[4,5-f]quinoline (IQ), as well as the nongenotoxic hepatocarcinogen di(2-ethylhexyl)phthalate (DEHP) and the noncarcinogen acetaminophen (AAP), were investigated in guanine phosphoribosyltransferase (gpt) delta transgenic rats, a recently developed animal model for genotoxicity analysis."
99,"23723564 | safrole | The genotoxic carcinogens 2-acetylaminofluorene (2-AAF), 2-amino-3-methylimidazo [4,5-f] quinolone (IQ) and safrole (SF), the non-genotoxic carcinogens piperonyl butoxide (PBO) and phenytoin (PHE), the non-carcinogen acetaminophen (APAP) and the genotoxic non-hepatocarcinogen aristolochic acid (AA) were tested to validate the GPG46 model."
100,"14738926 | 4'-hydroxyacetophenone | A high-performance liquid chromatography (HPLC) method has been developed and validated for the simultaneous determination of n-propionyl-p-aminophenol, 3-chloro-4-hydroxyacetanilide, 4'-hydroxyacetophenone, 4-hydroxyacetophenone oxime, 4-acetoxyacetanilide and 4'-chloroacetanilide, the main impurities in acetaminophen drug substance."
101,"25519295 | acetoacetate | The interferences assessed included acetoacetate, acetaminophen, ascorbic acid, galactose, maltose, uric acid, and sodium."
102,"28112939 | methylparaben | Molecular dynamics simulations were employed to both estimate the solubility of nonelectrolyte solids, such as acetanilide, acetaminophen, phenacetin, methylparaben, and lidocaine, in supercritical carbon dioxide and understand the underlying molecular-level driving forces."
103,"28300022 | methylparaben | The method provided a precise estimation of PPCPs in field samples, and acetaminophen, atenolol, metformin, sulfamethoxazole, carbamazepine, methylparaben, and triclosan were detected in concentrations ranging from 0.10 to 1.40 and 0.10 to 3.4 ng/mL in surface water and sewage water, respectively."
104,"26175014 | selenate | Of the chemicals examined, 13-cis-retinoic acid, ethanol, ibuprofen, lead acetate, salicylic acid, and selenate inhibited the migration of cNCCs at their embryotoxic concentrations; no effects were observed for acetaminophen, caffeine, indium, phenytoin, selenite, tributyltin, and valproic acid."
105,"19609937 | l-glutamate | We assessed the sensitivity of HUCB-NSCs at different developmental stages to a panel of neurotoxic (sodium tellurite, methylmercury chloride, cadmium chloride, chlorpyrifos, and L-glutamate) and non-neurotoxic (acetaminophen, theophylline, and D-glutamate) compounds."
106,22781444 | moringa oleifera | The present study was to investigate the therapeutic effects of the hydroethanolic extract of Moringa oleifera (MO) leaves and flowers against hepatotoxicity induced by acetaminophen (APAP) in rats.
107,"28066249 | 4-hydroxyphenylacetic acid | For evaluation of the expression of CYP2E1 in different herbal treatment samples, the mice were treated by oral gavage for 3 days with alcohol (50% 15 mL/kg), acetaminophen (APAP, 300 mg/kg), Cornus officinalis extract (100 mg/kg), Alhagi-honey extract (100 mg/kg), Apocynum venetum extract (100 mg/kg), hyperoside (50 mg/kg), isoquercetin (50 mg/kg), 4-hydroxyphenylacetic acid (50 mg/kg), 3-hydroxyphenylacetic acid (50 mg/kg), and 3,4-hydroxyphenylacetic acid (50 mg/kg)."
108,"26857812 | maltodextrin | The inclusion of the thickener, comprised of xanthan gum and maltodextrin, had a considerable impact on dissolution; acetaminophen release from modified medications reached 12-50% in 30min, which did not reflect the pharmacopeia specification for immediate release preparations."
109,"17964129 | maltodextrin | Powder mixtures containing acetaminophen, mannitol, erythritol, maltodextrin, crospovidone, colloidal silicon dioxide and polyoxyethylene 20 sorbitan monooleate were prepared via co-spray drying."
110,"18363140 | maltodextrin | Four-component mixtures containing acetaminophen, mannitol, erythritol, and maltodextrin were produced by cospray drying."
111,"17576058 | maltodextrin | Powder mixtures containing acetaminophen, mannitol, erythritol and different maltodextrin types were prepared via co-spray drying and physically mixed with crospovidone (6% w/w, Kollidon CL) in order to evaluate the influence of maltodextrin grade (amylose/amylopectin ratio) on powder hygroscopicity, flowability, density and compactability."
112,"17317123 | maltodextrin | Erythritol, lactose, maltodextrin, and mannitol were efficient in co-spray drying with acetaminophen."
113,"9121721 | gentisic acid | There were no reductions of the amyloid beta protein activations by acetylsalicylic acid (ASA), gentisic acid, sulindac sulfone and acetaminophen."
114,"1334228 | gentisic acid | Mechanisms of proton transport were investigated in planar phospholipid bilayer membranes exposed to aspirin (acetylsalicylic acid), acetaminophen (4-acetamidophenol), benzoic acid and three aspirin metabolites (salicylic acid, gentisic acid and salicyluric acid)."
115,"4061463 | gentisic acid | The in vitro effects of ascorbic acid, acetaminophen, salicylic acid, and gentisic acid on home blood-glucose-measurement systems were studied."
116,"21644253 | gentisic acid | A simple and sensitive method has been developed for the simultaneous determination of polar nonsteroidal pharmaceuticals and metabolites, including acetaminophen, p-aminophenol and several aspirin metabolites (salicylic acid, gentisic acid, salicyluric acid and 2,3-dihydroxybenzoic acid), by capillary liquid chromatography with amperometric detection."
117,27058600 | a. cepa | The objective of this study was to evaluate the action of Hymenaea stigonocarpa bark hydroalcoholic extract against a mutagenic compound using A. cepa meristematic root cells as a test system.
118,"27058600 | a. cepa | Furthermore, the three ST concentrations significantly reduced the number of cell aberrations when compared to the number of aberrant cells obtained for the PC, demonstrating antimutagenic action on the A. cepa test system cells."
119,"17132218 | rubus | This study investigated the mutagenic, anti-mutagenic and cytotoxic effects of acetone extract of raspberry, Rubus idaeus L. (v. Ottawa) Rosaceae, and the isolated and characterized ellagitannin and anthocyanin fractions thereof, suitable for food applications."
120,"25119859 | almond | In the present study, we investigated the role of almond (Prunus amygdalus) skin procyanidins (ASP) in regulating the protein expression of phase II detoxifying and antioxidant enzymes in HepG2 cells and acetaminophen (APAP)-treated hepatotoxic mice."
121,"24251357 | glycyrrhizin | The present study was to investigate the effects of giving N-acetylcysteine (NAC) alone and in combination with either glycyrrhizin (GL), silibinin (SIB) or spironolactone (SL) on the plasma pharmacokinetic (PK) profiles, hepatic exposure, biliary excretion and urinary excretion of acetaminophen (APAP) and its major metabolite, acetaminophen glucuronide (AG)."
122,"22821628 | glycyrrhizin | Meanwhile, serum high-mobility group box 1 (HMGB1), a damage-associated molecule released from necrotic hepatocytes, increased after acetaminophen challenge, and the HMGB1 inhibitor glycyrrhizin markedly reduced the production of IL-23 and IL-17A and the recruitment of hepatic neutrophils."
